time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, 
30.0, 0.994565, 1.000000, 0.989691, 1.000000, 1.000000, 0.986111, 1.000000, 
35.0, 0.994565, 1.000000, 0.989691, 1.000000, 1.000000, 0.986111, 1.000000, 
99.0, 0.989101, 1.000000, 0.989691, 0.987342, 1.000000, 0.986111, 1.000000, 
185.0, 0.983636, 0.968750, 0.989691, 0.974684, 1.000000, 0.986111, 0.971429, 
204.0, 0.978171, 0.968750, 0.989691, 0.962025, 1.000000, 0.986111, 0.971429, 
210.0, 0.972707, 0.937500, 0.989691, 0.949367, 1.000000, 0.986111, 0.942857, 
232.0, 0.961777, 0.906250, 0.989691, 0.924051, 1.000000, 0.986111, 0.914286, 
279.0, 0.956313, 0.875000, 0.989691, 0.911392, 1.000000, 0.986111, 0.885714, 
295.0, 0.950848, 0.843750, 0.989691, 0.898734, 1.000000, 0.986111, 0.857143, 
355.0, 0.945383, 0.843750, 0.979273, 0.898734, 1.000000, 0.986111, 0.857143, 
386.0, 0.939919, 0.812500, 0.979273, 0.886076, 1.000000, 0.986111, 0.828571, 
426.0, 0.934454, 0.781250, 0.979273, 0.873418, 1.000000, 0.986111, 0.800000, 
469.0, 0.928989, 0.781250, 0.979273, 0.860759, 1.000000, 0.986111, 0.800000, 
493.0, 0.923525, 0.750000, 0.979273, 0.848101, 1.000000, 0.986111, 0.771429, 
529.0, 0.918060, 0.718750, 0.979273, 0.835443, 1.000000, 0.986111, 0.771429, 
621.0, 0.912596, 0.687500, 0.979273, 0.822785, 1.000000, 0.986111, 0.742857, 
629.0, 0.907131, 0.656250, 0.979273, 0.810127, 1.000000, 0.986111, 0.714286, 
659.0, 0.901666, 0.625000, 0.979273, 0.797468, 1.000000, 0.986111, 0.685714, 
667.0, 0.896202, 0.593750, 0.979273, 0.784810, 1.000000, 0.986111, 0.657143, 
718.0, 0.890737, 0.593750, 0.979273, 0.772152, 1.000000, 0.986111, 0.657143, 
752.0, 0.885272, 0.593750, 0.979273, 0.759494, 1.000000, 0.986111, 0.657143, 
779.0, 0.879808, 0.562500, 0.979273, 0.746835, 1.000000, 0.986111, 0.657143, 
817.0, 0.874343, 0.562500, 0.968855, 0.746835, 1.000000, 0.986111, 0.657143, 
826.0, 0.868878, 0.531250, 0.968855, 0.734177, 1.000000, 0.986111, 0.628571, 
833.0, 0.863414, 0.531250, 0.968855, 0.721519, 1.000000, 0.986111, 0.628571, 
858.0, 0.857949, 0.531250, 0.968855, 0.708861, 1.000000, 0.986111, 0.628571, 
869.0, 0.852484, 0.531250, 0.968855, 0.696203, 1.000000, 0.986111, 0.628571, 
872.0, 0.847020, 0.531250, 0.958437, 0.696203, 1.000000, 0.986111, 0.628571, 
967.0, 0.841555, 0.500000, 0.958437, 0.683544, 1.000000, 0.986111, 0.600000, 
977.0, 0.836091, 0.500000, 0.948020, 0.683544, 1.000000, 0.972024, 0.600000, 
1041.0, 0.830626, 0.500000, 0.948020, 0.670886, 1.000000, 0.972024, 0.571429, 
1055.0, 0.825161, 0.500000, 0.948020, 0.658228, 1.000000, 0.972024, 0.571429, 
1062.0, 0.819697, 0.500000, 0.948020, 0.645570, 1.000000, 0.972024, 0.571429, 
1075.0, 0.814232, 0.468750, 0.948020, 0.632911, 1.000000, 0.972024, 0.542857, 
1156.0, 0.808767, 0.468750, 0.937602, 0.632911, 1.000000, 0.957937, 0.542857, 
1228.0, 0.803303, 0.468750, 0.937602, 0.620253, 1.000000, 0.957937, 0.542857, 
1252.0, 0.797838, 0.437500, 0.937602, 0.607595, 1.000000, 0.957937, 0.514286, 
1271.0, 0.792373, 0.406250, 0.937602, 0.594937, 1.000000, 0.957937, 0.485714, 
1312.0, 0.786909, 0.375000, 0.937602, 0.582278, 1.000000, 0.957937, 0.457143, 
1427.0, 0.781444, 0.375000, 0.927184, 0.582278, 1.000000, 0.957937, 0.457143, 
1435.0, 0.775979, 0.375000, 0.927184, 0.569620, 1.000000, 0.957937, 0.457143, 
1499.0, 0.775979, 0.375000, 0.927184, 0.569620, 1.000000, 0.957937, 0.457143, 
1506.0, 0.770476, 0.343750, 0.927184, 0.556962, 1.000000, 0.957937, 0.428571, 
1508.0, 0.770476, 0.343750, 0.927184, 0.556962, 1.000000, 0.957937, 0.428571, 
1510.0, 0.770476, 0.343750, 0.927184, 0.556962, 1.000000, 0.957937, 0.428571, 
1512.0, 0.770476, 0.343750, 0.927184, 0.556962, 1.000000, 0.957937, 0.428571, 
1516.0, 0.764852, 0.343750, 0.927184, 0.544009, 1.000000, 0.957937, 0.428571, 
1525.0, 0.759228, 0.343750, 0.927184, 0.544009, 1.000000, 0.957937, 0.428571, 
1557.0, 0.759228, 0.343750, 0.927184, 0.544009, 1.000000, 0.957937, 0.428571, 
1560.0, 0.753562, 0.343750, 0.916403, 0.544009, 1.000000, 0.957937, 0.428571, 
1563.0, 0.753562, 0.343750, 0.916403, 0.544009, 1.000000, 0.957937, 0.428571, 
1605.0, 0.753562, 0.343750, 0.916403, 0.544009, 1.000000, 0.957937, 0.428571, 
1621.0, 0.747810, 0.309375, 0.916403, 0.531057, 1.000000, 0.957937, 0.428571, 
1627.0, 0.747810, 0.309375, 0.916403, 0.531057, 1.000000, 0.957937, 0.428571, 
1634.0, 0.747810, 0.309375, 0.916403, 0.531057, 1.000000, 0.957937, 0.428571, 
1641.0, 0.747810, 0.309375, 0.916403, 0.531057, 1.000000, 0.957937, 0.428571, 
1648.0, 0.747810, 0.309375, 0.916403, 0.531057, 1.000000, 0.957937, 0.428571, 
1652.0, 0.747810, 0.309375, 0.916403, 0.531057, 1.000000, 0.957937, 0.428571, 
