((hgb, (hgb, (11.350000000000001, 13.25>) -> (hgb, (11.350000000000001, 13.25>)) AND (age, (age, (74.5, inf)) -> (age, (34.5, 55.5>)))
((hgb, (hgb, (13.25, 14.149999999999999>) -> (hgb, (11.350000000000001, 13.25>)) AND (age, (age, (65.5, 74.5>) -> (age, (34.5, 55.5>)))
((mspike, (mspike, (1.05, 1.95>) -> (mspike, (1.05, 1.95>)) AND (age, (age, (55.5, 62.5>) -> (age, (74.5, inf))))
((hgb, (hgb, (14.2, 16.2>) -> (hgb, (11.350000000000001, 13.25>)) AND (age, (age, (74.5, inf)) -> (age, (34.5, 55.5>)))
((hgb, (hgb, (9.95, 11.350000000000001>) -> (hgb, (11.350000000000001, 13.25>)) AND (age, (age, (74.5, inf)) -> (age, (34.5, 55.5>)))
((hgb, (hgb, (13.25, 14.149999999999999>) -> (hgb, (11.350000000000001, 13.25>)) AND (age, (age, (55.5, 62.5>) -> (age, (34.5, 55.5>)))
((hgb, (hgb, (11.350000000000001, 13.25>) -> (hgb, (11.350000000000001, 13.25>)) AND (age, (age, (65.5, 74.5>) -> (age, (34.5, 55.5>)))
((mspike, (mspike, (1.05, 1.95>) -> (mspike, (1.05, 1.95>)) AND (age, (age, (34.5, 55.5>) -> (age, (74.5, inf))))
((mspike, (mspike, (1.05, 1.95>) -> (mspike, (1.05, 1.95>)) AND (age, (age, (34.5, 55.5>) -> (age, (74.5, inf))))
((mspike, (mspike, (0.7000000000000001, 1.05>) -> (mspike, (1.05, 1.95>)) AND (age, (age, (65.5, 74.5>) -> (age, (74.5, inf))))
((hgb, (hgb, (11.350000000000001, 13.25>) -> (hgb, (11.350000000000001, 13.25>)) AND (age, (age, (55.5, 62.5>) -> (age, (34.5, 55.5>)))
((mspike, (mspike, (1.95, inf)) -> (mspike, (1.05, 1.95>)) AND (age, (age, (55.5, 62.5>) -> (age, (74.5, inf))))
((hgb, (hgb, (14.2, 16.2>) -> (hgb, (11.350000000000001, 13.25>)) AND (age, (age, (74.5, inf)) -> (age, (34.5, 55.5>)))
((hgb, (hgb, (11.350000000000001, 13.25>) -> (hgb, (11.350000000000001, 13.25>)) AND (age, (age, (55.5, 62.5>) -> (age, (34.5, 55.5>)))
((hgb, (hgb, (14.2, 16.2>) -> (hgb, (11.350000000000001, 13.25>)) AND (age, (age, (55.5, 62.5>) -> (age, (34.5, 55.5>)))
((mspike, (mspike, (1.05, 1.95>) -> (mspike, (1.05, 1.95>)) AND (age, (age, (34.5, 55.5>) -> (age, (74.5, inf))))
((hgb, (hgb, (11.350000000000001, 13.25>) -> (hgb, (11.350000000000001, 13.25>)) AND (age, (age, (65.5, 74.5>) -> (age, (34.5, 55.5>)))
((mspike, (mspike, (1.05, 1.95>) -> (mspike, (1.05, 1.95>)) AND (age, (age, (55.5, 62.5>) -> (age, (74.5, inf))))
((age, (age, (-inf, 34.5>) -> (age, (74.5, inf))))
((hgb, (hgb, (14.2, 16.2>) -> (hgb, (11.350000000000001, 13.25>)) AND (age, (age, (65.5, 74.5>) -> (age, (34.5, 55.5>)))
((hgb, (hgb, (11.350000000000001, 13.25>) -> (hgb, (11.350000000000001, 13.25>)) AND (age, (age, (65.5, 74.5>) -> (age, (34.5, 55.5>)))
((hgb, (hgb, (14.149999999999999, 14.2>) -> (hgb, (11.350000000000001, 13.25>)) AND (age, (age, (65.5, 74.5>) -> (age, (34.5, 55.5>)))
((hgb, (hgb, (13.25, 14.149999999999999>) -> (hgb, (11.350000000000001, 13.25>)) AND (age, (age, (55.5, 62.5>) -> (age, (34.5, 55.5>)))
((hgb, (hgb, (14.2, 16.2>) -> (hgb, (11.350000000000001, 13.25>)) AND (age, (age, (65.5, 74.5>) -> (age, (34.5, 55.5>)))
