attribute,value
mspike,"(-inf, 0.7000000000000001>"
mspike,"(0.7000000000000001, 1.05>"
mspike,"(1.05, 1.95>"
mspike,"(1.95, inf)"
hgb,"(-inf, 9.95>"
hgb,"(9.95, 11.350000000000001>"
hgb,"(11.350000000000001, 13.25>"
hgb,"(13.25, 14.149999999999999>"
hgb,"(14.149999999999999, 14.2>"
hgb,"(14.2, 16.2>"
hgb,"(16.2, inf)"
dxyr,"(-inf, 60.0>"
dxyr,"(60.0, 61.0>"
dxyr,"(61.0, 62.5>"
dxyr,"(62.5, 70.5>"
dxyr,"(70.5, inf)"
age,"(-inf, 34.5>"
age,"(34.5, 55.5>"
age,"(55.5, 62.5>"
age,"(62.5, 64.5>"
age,"(64.5, 65.5>"
age,"(65.5, 74.5>"
age,"(74.5, inf)"
