id,left,right
0,9,39
1,123,21
2,18,41
3,47,25
4,35,44
5,35,44
6,33,25
7,23,41
8,23,44
9,43,41
10,34,39
11,35,41
12,45,44
13,34,44
14,13,25
15,43,41
16,35,44
17,6,25
18,18,41
19,18,41
20,33,25
21,58,41
22,15,39
23,67,41
24,22,25
25,31,25
26,35,41
27,18,41
28,47,25
29,9,25
30,18,41
31,15,41
32,45,44
33,150,37
34,67,41
35,35,41
36,27,41
37,71,21
38,123,21
39,9,39
40,33,25
41,26,61
42,166,21
43,8,41
44,35,41
45,58,41
46,22,25
47,3,25
48,349,40
49,139,44
50,2,25
51,21,39
52,65,25
53,47,25
54,15,39
55,166,21
56,14,41
57,57,39
58,53,44
59,166,21
60,166,21
61,137,21
62,105,25
63,150,37
64,349,40
65,47,25
66,8,41
67,166,21
68,51,21
69,123,21
70,166,21
71,71,21
72,9,25
73,31,25
74,275,37
75,105,25
76,96,41
77,35,44
78,166,21
79,65,25
80,166,21
81,71,21
82,166,21
83,125,44
84,18,41
85,15,39
86,58,41
87,51,21
88,137,21
89,14,25
90,166,21
91,67,41
92,125,44
93,21,39
94,57,39
95,166,21
96,71,21
97,166,21
98,166,21
99,51,21
100,51,21
101,166,21
102,166,21
103,51,21
