id,p
0,0.001467
1,0.004956
2,0.002736
3,0.001467
4,0.000763
5,0.024746
6,0.001467
7,0.002736
8,0.001467
9,0.014901
10,0.014901
11,0.014901
12,0.000012
13,0.001467
14,0.000012
15,0.001467
16,0.014901
17,0.001467
18,0.001467
19,0.001467
20,0.014901
21,0.014901
22,0.000763
23,0.000763
24,0.001467
25,0.024746
26,0.014901
27,0.001467
28,0.001467
29,0.000005
30,0.001467
31,0.000763
32,0.002736
33,0.001467
34,0.001467
35,0.014901
36,0.014901
37,0.001467
38,0.000385
39,0.001467
40,0.000189
41,0.001467
42,0.002736
43,0.004956
44,0.000763
45,0.002736
46,0.001467
47,0.000385
48,0.014901
49,0.000763
50,0.001467
51,0.000763
52,0.000385
53,0.001467
54,0.001467
55,0.004956
56,0.001467
57,0.008718
58,0.001467
59,0.000385
60,0.001467
61,0.000763
62,0.014901
63,0.001467
64,0.001467
65,0.001467
66,0.002736
67,0.001467
68,0.001467
69,0.024746
70,0.000763
71,0.014901
72,0.000385
73,0.014901
74,0.001467
75,0.014901
76,0.014901
77,0.002736
78,0.000385
79,0.000189
80,0.002736
81,0.000005
82,0.001467
83,0.002736
84,0.000385
85,0.014901
86,0.000005
87,0.024746
88,0.000385
89,0.002736
90,0.000385
91,0.014901
92,0.001467
93,0.001467
94,0.001467
95,0.001467
96,0.000189
97,0.039940
98,0.001467
99,0.014901
