id,distance,n_actions
0,0.051059,2
1,0.050679,2
2,0.061651,2
3,0.076337,2
4,0.006270,1
5,0.069728,2
6,0.006270,1
7,0.003135,1
8,0.012539,1
9,0.027018,1
10,0.062423,2
11,0.015674,1
12,0.019017,1
13,0.039707,2
14,0.050157,1
15,0.089324,2
16,0.055381,2
17,0.012539,1
18,0.025078,1
19,0.029781,1
20,0.053958,2
21,0.039707,2
22,0.019017,1
23,0.076608,2
24,0.042842,2
25,0.035005,2
26,0.026670,1
27,0.015674,1
28,0.034787,1
29,0.054770,2
30,0.000000,0
31,0.046034,1
32,0.043019,1
33,0.025078,1
34,0.023655,1
35,0.022727,1
36,0.009404,1
37,0.044295,1
38,0.028213,1
39,0.001567,1
40,0.006270,1
41,0.092958,2
42,0.026206,1
43,0.050157,1
44,0.049552,2
45,0.025078,1
46,0.065553,2
47,0.012539,1
48,0.003135,1
49,0.088397,2
50,0.017241,1
51,0.047022,1
52,0.012539,1
53,0.033438,2
54,0.006270,1
55,0.062191,2
56,0.064510,2
57,0.051724,1
58,0.014107,1
59,0.074366,2
60,0.006270,1
61,0.020376,1
62,0.052528,1
63,0.053842,2
64,0.033743,1
65,0.021944,1
66,0.113134,2
67,0.056277,2
68,0.023511,1
69,0.033438,2
70,0.017843,2
71,0.063814,2
72,0.124961,2
73,0.049900,2
74,0.047544,2
75,0.006270,1
76,0.050157,1
77,0.066353,2
78,0.032120,1
79,0.037618,1
80,0.017241,1
81,0.009404,1
82,0.020376,1
83,0.061959,2
84,0.033511,1
85,0.043483,1
86,0.072100,1
87,0.038381,1
88,0.012539,1
89,0.079816,2
90,0.036050,1
91,0.031888,1
92,0.028213,1
93,0.022263,1
94,0.049436,2
95,0.042320,1
96,0.000000,0
97,0.006270,1
98,0.044410,2
99,0.053814,2
100,0.035598,1
101,0.014481,2
102,0.052219,2
103,0.039707,2
104,0.050247,2
105,0.058516,2
106,0.020376,1
107,0.010972,1
108,0.028213,1
109,0.006270,1
110,0.019198,2
111,0.019133,1
112,0.021800,1
113,0.031870,2
114,0.003135,1
