attribute,value
OpSet1,"(-inf, -0.0026>"
OpSet1,"(-0.0026, -0.0021000000000000003>"
OpSet1,"(-0.0021000000000000003, inf)"
SensorMeasure9,"(-inf, 9052.404999999999>"
SensorMeasure9,"(9052.404999999999, 9057.165>"
SensorMeasure9,"(9057.165, inf)"
SensorMeasure4,"(-inf, 1394.665>"
SensorMeasure4,"(1394.665, 1413.3000000000002>"
SensorMeasure4,"(1413.3000000000002, inf)"
SensorMeasure2,"(-inf, 642.04>"
SensorMeasure2,"(642.04, inf)"
SensorMeasure21,"(-inf, 23.24405>"
SensorMeasure21,"(23.24405, 23.498649999999998>"
SensorMeasure21,"(23.498649999999998, inf)"
