attribute,value
SensorMeasure3,"(-inf, 1577.92>"
SensorMeasure3,"(1577.92, 1583.3249999999998>"
SensorMeasure3,"(1583.3249999999998, inf)"
SensorMeasure12,"(-inf, 518.935>"
SensorMeasure12,"(518.935, 524.25>"
SensorMeasure12,"(524.25, inf)"
SensorMeasure8,"(-inf, 2388.0600000000004>"
SensorMeasure8,"(2388.0600000000004, inf)"
SensorMeasure6,"(-inf, 21.605>"
SensorMeasure6,"(21.605, inf)"
OpSet2,"(-inf, -0.00045>"
OpSet2,"(-0.00045, inf)"
SensorMeasure11,"(-inf, 47.245000000000005>"
SensorMeasure11,"(47.245000000000005, inf)"
SensorMeasure20,"(-inf, 38.735>"
SensorMeasure20,"(38.735, 38.955>"
SensorMeasure20,"(38.955, 39.245>"
SensorMeasure20,"(39.245, inf)"
