time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, 
0.5, 0.995694, 1.000000, 0.994521, 1.000000, 0.994521, 0.993266, 0.996024, 0.993528, 1.000000, 0.994737, 1.000000, 0.994302, 1.000000, 1.000000, 0.995098, 1.000000, 0.995495, 
2.0, 0.994618, 1.000000, 0.991781, 1.000000, 0.991781, 0.993266, 0.994036, 0.990291, 1.000000, 0.992105, 1.000000, 0.994302, 0.996466, 0.995652, 0.995098, 0.997608, 0.995495, 
4.0, 0.993541, 1.000000, 0.989041, 1.000000, 0.989041, 0.993266, 0.992048, 0.990291, 1.000000, 0.989474, 1.000000, 0.994302, 0.992933, 0.995652, 0.995098, 0.995215, 0.995495, 
6.0, 0.991389, 1.000000, 0.986301, 1.000000, 0.986301, 0.989899, 0.990060, 0.987055, 1.000000, 0.986842, 1.000000, 0.991453, 0.992933, 0.995652, 0.995098, 0.995215, 0.995495, 
13.0, 0.990312, 1.000000, 0.983562, 1.000000, 0.983562, 0.989899, 0.988072, 0.983819, 1.000000, 0.984211, 1.000000, 0.991453, 0.989399, 0.995652, 0.995098, 0.992823, 0.995495, 
14.0, 0.988159, 0.996269, 0.980822, 0.997175, 0.980822, 0.986532, 0.986083, 0.980583, 0.996269, 0.981579, 0.996269, 0.988604, 0.989399, 0.995652, 0.990196, 0.992823, 0.990991, 
16.0, 0.984930, 0.992537, 0.975342, 0.994350, 0.975342, 0.983165, 0.982107, 0.974110, 0.992537, 0.976316, 0.992537, 0.985755, 0.985866, 0.991304, 0.990196, 0.990431, 0.990991, 
18.0, 0.981701, 0.988806, 0.975342, 0.988701, 0.975342, 0.979798, 0.982107, 0.970874, 0.988806, 0.973684, 0.988806, 0.982906, 0.985866, 0.986957, 0.985294, 0.985646, 0.986486, 
19.0, 0.980624, 0.988806, 0.972603, 0.988701, 0.972603, 0.979798, 0.980119, 0.970874, 0.988806, 0.971053, 0.988806, 0.982906, 0.985866, 0.986957, 0.985294, 0.983254, 0.986486, 
21.0, 0.978471, 0.988806, 0.967123, 0.988701, 0.967123, 0.979798, 0.976143, 0.964401, 0.988806, 0.965789, 0.988806, 0.980057, 0.982332, 0.982609, 0.985294, 0.980861, 0.986486, 
