((protime, (protime, (11.8, inf)) -> (protime, (9.55, 9.7>)))
((protime, (protime, (9.7, 11.350000000000001>) -> (protime, (9.55, 9.7>)))
((age, (age, (41.5811085, 66.7063655>) -> (age, (41.5811085, 66.7063655>)) AND (bili, (bili, (0.75, 1.25>) -> (bili, (8.95, inf))))
((protime, (protime, (11.8, inf)) -> (protime, (9.55, 9.7>)))
((protime, (protime, (11.8, inf)) -> (protime, (9.55, 9.7>)))
((protime, (protime, (11.350000000000001, 11.8>) -> (protime, (9.55, 9.7>)))
((age, (age, (-inf, 41.463381>) -> (age, (41.5811085, 66.7063655>)) AND (bili, (bili, (0.75, 1.25>) -> (bili, (8.95, inf))))
((age, (age, (-inf, 41.463381>) -> (age, (41.5811085, 66.7063655>)) AND (bili, (bili, (0.75, 1.25>) -> (bili, (8.95, inf))))
((protime, (protime, (9.7, 11.350000000000001>) -> (protime, (9.55, 9.7>)))
((protime, (protime, (9.7, 11.350000000000001>) -> (protime, (9.55, 9.7>)))
((age, (age, (41.5811085, 66.7063655>) -> (age, (41.5811085, 66.7063655>)) AND (bili, (bili, (2.25, 8.95>) -> (bili, (8.95, inf))))
((age, (age, (-inf, 41.463381>) -> (age, (41.5811085, 66.7063655>)) AND (bili, (bili, (1.75, 2.1500000000000004>) -> (bili, (8.95, inf))))
((bili, (bili, (0.75, 1.25>) -> (bili, (8.95, inf))))
((protime, (protime, (11.8, inf)) -> (protime, (9.55, 9.7>)))
((bili, (bili, (-inf, 0.75>) -> (bili, (8.95, inf))))
((age, (age, (41.5811085, 66.7063655>) -> (age, (41.5811085, 66.7063655>)) AND (bili, (bili, (2.25, 8.95>) -> (bili, (8.95, inf))))
((age, (age, (41.5811085, 66.7063655>) -> (age, (41.5811085, 66.7063655>)) AND (bili, (bili, (2.25, 8.95>) -> (bili, (8.95, inf))))
((age, (age, (41.5811085, 66.7063655>) -> (age, (41.5811085, 66.7063655>)) AND (bili, (bili, (2.25, 8.95>) -> (bili, (8.95, inf))))
((protime, (protime, (9.7, 11.350000000000001>) -> (protime, (9.55, 9.7>)))
((bili, (bili, (-inf, 0.75>) -> (bili, (8.95, inf))))
((bili, (bili, (-inf, 0.75>) -> (bili, (8.95, inf))))
((protime, (protime, (9.7, 11.350000000000001>) -> (protime, (9.55, 9.7>)))
((bili, (bili, (0.75, 1.25>) -> (bili, (8.95, inf))))
((bili, (bili, (-inf, 0.75>) -> (bili, (8.95, inf))))
((age, (age, (41.5811085, 66.7063655>) -> (age, (41.5811085, 66.7063655>)) AND (bili, (bili, (2.25, 8.95>) -> (bili, (8.95, inf))))
((age, (age, (41.5811085, 66.7063655>) -> (age, (41.5811085, 66.7063655>)) AND (bili, (bili, (-inf, 0.75>) -> (bili, (8.95, inf))))
((bili, (bili, (0.75, 1.25>) -> (bili, (8.95, inf))))
((bili, (bili, (0.75, 1.25>) -> (bili, (8.95, inf))))
((age, (age, (41.5811085, 66.7063655>) -> (age, (41.5811085, 66.7063655>)) AND (bili, (bili, (1.25, 1.75>) -> (bili, (8.95, inf))))
((bili, (bili, (0.75, 1.25>) -> (bili, (8.95, inf))))
((bili, (bili, (-inf, 0.75>) -> (bili, (8.95, inf))))
((age, (age, (41.5811085, 66.7063655>) -> (age, (41.5811085, 66.7063655>)) AND (bili, (bili, (2.25, 8.95>) -> (bili, (8.95, inf))))
((protime, (protime, (9.7, 11.350000000000001>) -> (protime, (9.55, 9.7>)))
((age, (age, (-inf, 41.463381>) -> (age, (41.5811085, 66.7063655>)) AND (bili, (bili, (2.25, 8.95>) -> (bili, (8.95, inf))))
((protime, (protime, (9.7, 11.350000000000001>) -> (protime, (9.55, 9.7>)))
((bili, (bili, (-inf, 0.75>) -> (bili, (8.95, inf))))
((protime, (protime, (11.350000000000001, 11.8>) -> (protime, (9.55, 9.7>)))
((protime, (protime, (11.8, inf)) -> (protime, (9.55, 9.7>)))
((protime, (protime, (9.7, 11.350000000000001>) -> (protime, (9.55, 9.7>)))
((protime, (protime, (9.7, 11.350000000000001>) -> (protime, (9.55, 9.7>)))
((protime, (protime, (9.7, 11.350000000000001>) -> (protime, (9.55, 9.7>)))
((bili, (bili, (0.75, 1.25>) -> (bili, (8.95, inf))))
