attribute,value
albumin,"(-inf, 3.005>"
albumin,"(3.005, 3.0149999999999997>"
albumin,"(3.0149999999999997, 3.13>"
albumin,"(3.13, 3.49>"
albumin,"(3.49, 3.565>"
albumin,"(3.565, 3.895>"
albumin,"(3.895, 3.965>"
albumin,"(3.965, 4.140000000000001>"
albumin,"(4.140000000000001, inf)"
bili,"(-inf, 0.75>"
bili,"(0.75, 1.25>"
bili,"(1.25, 1.75>"
bili,"(1.75, 2.1500000000000004>"
bili,"(2.1500000000000004, 2.25>"
bili,"(2.25, 8.95>"
bili,"(8.95, inf)"
age,"(-inf, 41.463381>"
age,"(41.463381, 41.5811085>"
age,"(41.5811085, 66.7063655>"
age,"(66.7063655, 69.1731695>"
age,"(69.1731695, inf)"
protime,"(-inf, 9.55>"
protime,"(9.55, 9.7>"
protime,"(9.7, 11.350000000000001>"
protime,"(11.350000000000001, 11.8>"
protime,"(11.8, inf)"
stage,"(-inf, 3.5>"
stage,"(3.5, inf)"
