attribute,value
pnodes,"(-inf, 1.5>"
pnodes,"(1.5, 2.5>"
pnodes,"(2.5, 3.5>"
pnodes,"(3.5, 6.5>"
pnodes,"(6.5, 7.5>"
pnodes,"(7.5, 8.5>"
pnodes,"(8.5, 15.0>"
pnodes,"(15.0, 35.5>"
pnodes,"(35.5, 36.5>"
pnodes,"(36.5, inf)"
progrec,"(-inf, 0.5>"
progrec,"(0.5, 9.5>"
progrec,"(9.5, 11.5>"
progrec,"(11.5, 15.5>"
progrec,"(15.5, 20.5>"
progrec,"(20.5, 21.5>"
progrec,"(21.5, 23.5>"
progrec,"(23.5, 24.5>"
progrec,"(24.5, 35.5>"
progrec,"(35.5, 55.5>"
progrec,"(55.5, 103.0>"
progrec,"(103.0, 182.5>"
progrec,"(182.5, 399.0>"
progrec,"(399.0, 417.5>"
progrec,"(417.5, 827.0>"
progrec,"(827.0, inf)"
tsize,"(-inf, 6.0>"
tsize,"(6.0, 9.0>"
tsize,"(9.0, 10.5>"
tsize,"(10.5, 18.5>"
tsize,"(18.5, 19.0>"
tsize,"(19.0, 19.5>"
tsize,"(19.5, 20.0>"
tsize,"(20.0, 31.0>"
tsize,"(31.0, 59.0>"
tsize,"(59.0, inf)"
age,"(-inf, 28.5>"
age,"(28.5, 29.5>"
age,"(29.5, 30.0>"
age,"(30.0, 32.5>"
age,"(32.5, 33.5>"
age,"(33.5, 34.0>"
age,"(34.0, 35.0>"
age,"(35.0, 37.5>"
age,"(37.5, 39.5>"
age,"(39.5, 40.5>"
age,"(40.5, 41.5>"
age,"(41.5, 42.5>"
age,"(42.5, 64.5>"
age,"(64.5, 72.5>"
age,"(72.5, 74.5>"
age,"(74.5, inf)"
estrec,"(-inf, 4.5>"
estrec,"(4.5, 11.0>"
estrec,"(11.0, 82.0>"
estrec,"(82.0, 83.5>"
estrec,"(83.5, 112.0>"
estrec,"(112.0, 664.5>"
estrec,"(664.5, inf)"
