rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 7, 6, 2, 11.1534, 38.7833, 0.0000, 0.0000, 211.0000, 1168.0000, -957.0000
r2, 6, 4, 2, 18.3777, 45.5006, 0.0000, 0.0000, 297.0000, 1138.0000, -841.0000
r3, 4, 3, 1, 22.3067, 51.0773, 0.0000, 0.0000, 297.0000, 858.0000, -561.0000
r4, 5, 5, 3, 28.1369, 58.4284, 0.0000, 0.0000, 360.0000, 858.0000, -498.0000
r5, 6, 5, 4, 31.3054, 32.0659, 0.0000, 0.0000, 389.0000, 1168.0000, -779.0000
r6, 4, 3, 1, 26.8695, 51.0773, 0.0000, 0.0000, 339.0000, 858.0000, -519.0000
r7, 2, 2, 1, 40.9379, 58.5551, 0.0000, 0.0000, 467.0000, 846.0000, -379.0000
r8, 6, 5, 3, 12.8010, 6.5906, 0.0000, 0.0000, 1481.0000, 289.0000, 1192.0000
r9, 5, 4, 2, 20.9125, 9.2522, 0.0000, 0.0000, 1327.0000, 297.0000, 1030.0000
r10, 6, 3, 1, 23.5741, 7.7313, 0.0000, 0.0000, 1168.0000, 264.0000, 904.0000
r11, 7, 6, 3, 18.2510, 18.1242, 0.0000, 0.0000, 1482.0000, 389.0000, 1093.0000
r12, 2, 2, 1, 30.9252, 67.4271, 0.0000, 0.0016, 1168.0000, 633.0000, 535.0000
r13, 5, 4, 3, 31.9392, 6.8441, 0.0000, 0.0000, 1138.0000, 307.0000, 831.0000
r14, 3, 3, 1, 31.5589, 5.8302, 0.0000, 0.0000, 1138.0000, 289.0000, 849.0000
r15, 2, 2, 1, 34.4740, 64.2586, 0.0000, 0.0096, 827.0000, 567.0000, 260.0000
r16, 2, 2, 1, 15.7161, 32.5729, 0.0000, 0.0004, 400.0000, 1168.0000, -768.0000
