time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, r12_l, r12_r, r13_l, r13_r, r14_l, r14_r, r15_l, r15_r, r16_l, r16_r, 
1.0, 0.996198, 0.977273, 1.000000, 0.986207, 1.000000, 0.988636, 1.000000, 0.990991, 0.997831, 0.991903, 1.000000, 0.990566, 1.000000, 0.993808, 0.997835, 1.000000, 0.980769, 1.000000, 0.986301, 1.000000, 1.000000, 1.000000, 0.993007, 0.995902, 0.996241, 0.996032, 0.981481, 0.995984, 0.978261, 1.000000, 0.994083, 1.000000, 0.996109, 
2.0, 0.993643, 0.965639, 0.996732, 0.979163, 0.997214, 0.982786, 0.997519, 0.986403, 0.995657, 0.987787, 1.000000, 0.985734, 0.997519, 0.990663, 0.995666, 1.000000, 0.980769, 1.000000, 0.986301, 1.000000, 1.000000, 0.993007, 0.985914, 0.991752, 0.994350, 0.992048, 0.981481, 0.991952, 0.978261, 0.996324, 0.992087, 0.991935, 0.992172, 
3.0, 0.985951, 0.942370, 0.993453, 0.965074, 0.994421, 0.971087, 0.995025, 0.977227, 0.991280, 0.983671, 0.988095, 0.966406, 0.995025, 0.978083, 0.991299, 1.000000, 0.980769, 1.000000, 0.972603, 0.994595, 0.983051, 0.993007, 0.978821, 0.983383, 0.988668, 0.988047, 0.981481, 0.987886, 0.978261, 0.992647, 0.982066, 0.983871, 0.980266, 
4.0, 0.980795, 0.930736, 0.993453, 0.957978, 0.991628, 0.959244, 0.990025, 0.967920, 0.986894, 0.975370, 0.984127, 0.956644, 0.990025, 0.971732, 0.986923, 1.000000, 0.961154, 1.000000, 0.958708, 0.994595, 0.948558, 0.993007, 0.964427, 0.979198, 0.982942, 0.988047, 0.962607, 0.983821, 0.956028, 0.988957, 0.976016, 0.975740, 0.976297, 
5.0, 0.970417, 0.918954, 0.977005, 0.950829, 0.977622, 0.947328, 0.977493, 0.958523, 0.973677, 0.966998, 0.972174, 0.946832, 0.977493, 0.965318, 0.973734, 1.000000, 0.961154, 0.993865, 0.958708, 0.983784, 0.948558, 0.993007, 0.957120, 0.970829, 0.971401, 0.967883, 0.962607, 0.963325, 0.956028, 0.973973, 0.967933, 0.975740, 0.968327, 
6.0, 0.970417, 0.918954, 0.977005, 0.950829, 0.977622, 0.947328, 0.977493, 0.958523, 0.973677, 0.966998, 0.972174, 0.946832, 0.977493, 0.965318, 0.973734, 1.000000, 0.961154, 0.993865, 0.958708, 0.983784, 0.948558, 0.993007, 0.957120, 0.970829, 0.971401, 0.967883, 0.962607, 0.963325, 0.956028, 0.973973, 0.967933, 0.975740, 0.968327, 
7.0, 0.966445, 0.907173, 0.977005, 0.943570, 0.977622, 0.941255, 0.974927, 0.953754, 0.969169, 0.962719, 0.968140, 0.941849, 0.974927, 0.962057, 0.969237, 1.000000, 0.961154, 0.987730, 0.958708, 0.978288, 0.930316, 0.993007, 0.949814, 0.970829, 0.965502, 0.963747, 0.962607, 0.954984, 0.956028, 0.966304, 0.965878, 0.975740, 0.968327, 
8.0, 0.963790, 0.907173, 0.977005, 0.943570, 0.977622, 0.941255, 0.972362, 0.953754, 0.964640, 0.962719, 0.968140, 0.941849, 0.972362, 0.962057, 0.964718, 1.000000, 0.961154, 0.987730, 0.944399, 0.978288, 0.912075, 0.993007, 0.949814, 0.970829, 0.961569, 0.963747, 0.962607, 0.954984, 0.956028, 0.966304, 0.961750, 0.967255, 0.968327, 
9.0, 0.959796, 0.871829, 0.977005, 0.921796, 0.977622, 0.923038, 0.972362, 0.939448, 0.964640, 0.949883, 0.968140, 0.926899, 0.972362, 0.952273, 0.964718, 1.000000, 0.941130, 0.987730, 0.944399, 0.978288, 0.912075, 0.993007, 0.935202, 0.966495, 0.957636, 0.963747, 0.943732, 0.954984, 0.933265, 0.966304, 0.955545, 0.967255, 0.964207, 
10.0, 0.957126, 0.871829, 0.973613, 0.921796, 0.974729, 0.923038, 0.969775, 0.939448, 0.962354, 0.949883, 0.964038, 0.921916, 0.969775, 0.949012, 0.962438, 1.000000, 0.941130, 0.987730, 0.944399, 0.978288, 0.893833, 0.993007, 0.927895, 0.966495, 0.953695, 0.963747, 0.943732, 0.954984, 0.910503, 0.966304, 0.951391, 0.967255, 0.964207, 
