id,p
0,0.000000
1,
2,0.000000
3,0.000000
4,
5,0.000000
6,
7,
8,
9,0.000000
10,0.000000
11,
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.000000
17,
18,
19,
20,0.000000
21,
22,0.000000
23,0.000000
24,
25,0.000000
26,0.000000
27,
28,0.000000
29,0.000000
30,
31,0.000000
32,0.000000
33,
34,0.000000
35,0.000000
36,0.000000
37,0.000000
38,
39,0.000000
40,
41,0.000000
42,0.000000
43,
44,0.000000
45,
46,0.000000
47,
48,
49,0.000000
50,0.000000
51,
52,0.000000
53,0.000000
54,
55,0.000000
56,0.000000
57,
58,
59,0.000000
60,0.000000
61,
62,0.000000
63,0.000000
64,0.000000
65,
66,0.000000
67,0.000000
68,
69,0.000000
70,0.000000
71,0.000000
72,0.000000
73,0.000000
74,0.000000
75,
76,
77,0.000000
78,0.000000
79,0.000000
80,
81,0.000000
82,
83,0.000000
84,0.000000
85,0.000000
86,0.000000
87,0.000000
88,
89,0.000000
90,0.000000
91,0.000000
92,
93,0.000000
94,0.000000
95,
96,0.000000
97,
98,0.000000
99,
100,0.000000
101,0.000000
102,0.000000
103,0.000000
104,0.000000
105,0.000000
106,
107,
108,
109,
110,0.000000
111,0.000000
112,0.000000
113,
114,
