((stdagepill, (stdagepill, (-1.363636, 0.45454550000000005>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (1.909091, inf)) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (1.5454545, 1.7272729999999998>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (1.909091, inf)) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (0.45454550000000005, 1.5454545>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (0.45454550000000005, 1.5454545>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (0.45454550000000005, 1.5454545>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (0.45454550000000005, 1.5454545>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.909091, -1.363636>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (0.45454550000000005, 1.5454545>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (0.45454550000000005, 1.5454545>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (0.45454550000000005, 1.5454545>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.363636, 0.45454550000000005>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.909091>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (0.45454550000000005, 1.5454545>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (1.909091, inf)) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (0.45454550000000005, 1.5454545>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.363636, 0.45454550000000005>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.363636, 0.45454550000000005>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.363636, 0.45454550000000005>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.363636, 0.45454550000000005>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.363636, 0.45454550000000005>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.363636, 0.45454550000000005>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.909091>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.363636, 0.45454550000000005>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (0.45454550000000005, 1.5454545>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.363636, 0.45454550000000005>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.363636, 0.45454550000000005>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (0.45454550000000005, 1.5454545>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.363636, 0.45454550000000005>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (1.909091, inf)) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.363636, 0.45454550000000005>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (1.909091, inf)) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (1.7272729999999998, 1.909091>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (0.45454550000000005, 1.5454545>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.363636, 0.45454550000000005>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.363636, 0.45454550000000005>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (1.909091, inf)) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.909091, -1.363636>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.363636, 0.45454550000000005>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.363636, 0.45454550000000005>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (0.45454550000000005, 1.5454545>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
((stdagepill, (stdagepill, (-1.363636, 0.45454550000000005>) -> (stdagepill, (-3.181818, -2.2727269999999997>)))
