attribute,value
dysp1,"(-inf, 1.5>"
dysp1,"(1.5, inf)"
agepill,"(-inf, 39.0>"
agepill,"(39.0, 41.5>"
agepill,"(41.5, 42.5>"
agepill,"(42.5, 43.5>"
agepill,"(43.5, 49.5>"
agepill,"(49.5, 56.5>"
agepill,"(56.5, 61.5>"
agepill,"(61.5, 65.5>"
agepill,"(65.5, inf)"
stdagepill,"(-inf, -3.181818>"
stdagepill,"(-3.181818, -2.2727269999999997>"
stdagepill,"(-2.2727269999999997, -1.909091>"
stdagepill,"(-1.909091, -1.363636>"
stdagepill,"(-1.363636, 0.45454550000000005>"
stdagepill,"(0.45454550000000005, 1.5454545>"
stdagepill,"(1.5454545, 1.7272729999999998>"
stdagepill,"(1.7272729999999998, 1.909091>"
stdagepill,"(1.909091, inf)"
moddysp,{Worst isn't moderate}
sex,{Male}
sex,{Female}
smoke,{Ever}
smoke,{Never}
sevdysp,{Worst isn't severe}
mildysp,{Worst isn't mild}
basehist,{Normal}
