id,p
0,0.000946
1,0.000946
2,0.000946
3,0.000946
4,0.000946
5,0.000946
6,0.000946
7,0.000946
8,0.000946
9,0.000946
10,0.000946
11,0.000946
12,0.000946
13,0.000946
14,0.000946
15,0.000946
16,0.000946
17,0.000946
18,0.000946
19,0.000946
20,0.000946
21,0.000946
22,0.000946
23,0.000946
24,0.000946
25,0.000946
26,0.000946
27,0.000457
28,0.000946
29,0.000457
30,0.000946
31,0.000946
32,0.000946
33,0.000946
34,0.000946
35,0.000457
36,0.000946
37,0.000457
38,0.000457
39,0.000946
40,0.000457
41,0.000946
42,0.000946
43,0.000457
44,0.000946
45,0.000946
46,0.000946
47,0.000946
48,0.000946
49,0.000946
50,0.000946
51,0.000946
52,0.000946
53,0.000946
54,0.000946
55,0.000946
56,0.000946
57,0.000946
58,0.000946
59,0.000946
60,0.000946
61,0.000946
62,0.000946
63,0.000946
64,0.000946
65,0.000457
66,0.000946
67,0.000946
68,0.000946
69,0.000946
70,0.000946
71,0.000946
72,0.000457
73,0.000946
74,0.000946
75,0.000946
76,0.000946
77,0.000946
78,0.000946
79,0.000946
80,0.000946
81,0.000946
82,0.000946
83,0.000946
84,0.000946
85,0.000946
86,0.000946
87,0.000946
88,0.000946
89,0.000457
90,0.000946
91,0.000946
92,0.000946
93,0.000946
94,0.000946
95,0.000946
96,0.000946
97,0.000946
98,0.000946
99,0.000946
