attribute,value
OpSet1,"(-inf, -0.0027>"
OpSet1,"(-0.0027, -0.0026>"
OpSet1,"(-0.0026, 0.00275>"
OpSet1,"(0.00275, 0.0037>"
OpSet1,"(0.0037, inf)"
SensorMeasure9,"(-inf, 9057.165>"
SensorMeasure9,"(9057.165, inf)"
SensorMeasure14,"(-inf, 8137.4>"
SensorMeasure14,"(8137.4, 8137.825000000001>"
SensorMeasure14,"(8137.825000000001, inf)"
SensorMeasure3,"(-inf, 1583.2>"
SensorMeasure3,"(1583.2, 1589.9850000000001>"
SensorMeasure3,"(1589.9850000000001, inf)"
SensorMeasure20,"(-inf, 39.129999999999995>"
SensorMeasure20,"(39.129999999999995, inf)"
