((priorzdv, (priorzdv, (9.5, 31.5>) -> (priorzdv, (31.5, 33.5>)))
((age, (age, (34.5, 40.5>) -> (age, (25.5, 28.5>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (31.5, 33.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((priorzdv, (priorzdv, (9.5, 31.5>) -> (priorzdv, (31.5, 33.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((strat2, (strat2, (0.5, inf)) -> (strat2, (0.5, inf))) AND (age, (age, (32.5, 34.5>) -> (age, (25.5, 28.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((raceth, (raceth, (-inf, 3.5>) -> (raceth, (3.5, inf))))
((priorzdv, (priorzdv, (9.5, 31.5>) -> (priorzdv, (31.5, 33.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((priorzdv, (priorzdv, (9.5, 31.5>) -> (priorzdv, (31.5, 33.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (11.75, 18.75>) -> (cd4, (53.75, 57.25>)))
((age, (age, (53.5, 56.5>) -> (age, (25.5, 28.5>)))
((strat2, (strat2, (0.5, inf)) -> (strat2, (0.5, inf))) AND (cd4, (cd4, (57.25, 64.25>) -> (cd4, (86.0, 370.0>)))
((ivdrug, (ivdrug, (-inf, 2.5>) -> (ivdrug, (2.5, inf))) AND (cd4, (cd4, (23.25, 53.75>) -> (cd4, (86.0, 370.0>)))
((age, (age, (32.5, 34.5>) -> (age, (25.5, 28.5>)))
((age, (age, (43.5, 53.5>) -> (age, (25.5, 28.5>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (31.5, 33.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((priorzdv, (priorzdv, (7.5, 8.5>) -> (priorzdv, (31.5, 33.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((age, (age, (34.5, 40.5>) -> (age, (25.5, 28.5>)))
((priorzdv, (priorzdv, (5.5, 7.5>) -> (priorzdv, (31.5, 33.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((priorzdv, (priorzdv, (9.5, 31.5>) -> (priorzdv, (31.5, 33.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
((age, (age, (43.5, 53.5>) -> (age, (25.5, 28.5>)))
((cd4, (cd4, (86.0, 370.0>) -> (cd4, (-inf, 0.5>)))
