((FRAC, (FRAC, (0.8388884999999999, inf)) -> (FRAC, (0.8388884999999999, inf))) AND (IV, (IV, (1.5, inf)) -> (IV, (-inf, 1.5>)) AND (BECK, (BECK, (12.0, 23.5>) -> (BECK, (0.5, 8.2>)))
((AGE, (AGE, (21.5, 43.0>) -> (AGE, (21.5, 43.0>)) AND (FRAC, (FRAC, (0.408333, 0.65>) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (12.0, 23.5>) -> (BECK, (12.0, 23.5>)))
((FRAC, (FRAC, (0.8388884999999999, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (23.5, 36.9>) -> (BECK, (12.0, 23.5>)))
((FRAC, (FRAC, (0.8388884999999999, inf)) -> (FRAC, (0.8388884999999999, inf))) AND (IV, (IV, (1.5, inf)) -> (IV, (-inf, 1.5>)) AND (BECK, (BECK, (12.0, 23.5>) -> (BECK, (0.5, 8.2>)))
((FRAC, (FRAC, (0.8388884999999999, inf)) -> (FRAC, (0.8388884999999999, inf))) AND (IV, (IV, (1.5, inf)) -> (IV, (-inf, 1.5>)) AND (BECK, (BECK, (36.9, 44.0>) -> (BECK, (0.5, 8.2>)))
((FRAC, (FRAC, (0.8388884999999999, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (12.0, 23.5>) -> (BECK, (12.0, 23.5>)))
((FRAC, (FRAC, (0.408333, 0.65>) -> (FRAC, (0.8388884999999999, inf))) AND (IV, (IV, (1.5, inf)) -> (IV, (-inf, 1.5>)) AND (BECK, (BECK, (12.0, 23.5>) -> (BECK, (0.5, 8.2>)))
((AGE, (AGE, (21.5, 43.0>) -> (AGE, (21.5, 43.0>)) AND (FRAC, (FRAC, (0.736111, 0.7749999999999999>) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (12.0, 23.5>) -> (BECK, (12.0, 23.5>)))
((FRAC, (FRAC, (0.3416665, 0.408333>) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (0.5, 8.2>) -> (BECK, (12.0, 23.5>)))
((FRAC, (FRAC, (0.65, 0.7083335>) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (12.0, 23.5>) -> (BECK, (12.0, 23.5>)))
((FRAC, (FRAC, (0.8388884999999999, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (12.0, 23.5>) -> (BECK, (12.0, 23.5>)))
((FRAC, (FRAC, (0.8388884999999999, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (12.0, 23.5>) -> (BECK, (12.0, 23.5>)))
((FRAC, (FRAC, (0.736111, 0.7749999999999999>) -> (FRAC, (-inf, 0.1277775>)) AND (BECK, (BECK, (23.5, 36.9>) -> (BECK, (12.0, 23.5>)))
