attribute,value
BECK,"(-inf, 3.0>"
BECK,"(3.0, 4.0>"
BECK,"(4.0, 12.0>"
BECK,"(12.0, 30.25>"
BECK,"(30.25, 36.375>"
BECK,"(36.375, 36.9>"
BECK,"(36.9, inf)"
FRAC,"(-inf, 0.147222>"
FRAC,"(0.147222, 0.2611115>"
FRAC,"(0.2611115, 0.27222250000000003>"
FRAC,"(0.27222250000000003, 0.413889>"
FRAC,"(0.413889, 0.736111>"
FRAC,"(0.736111, 0.7416665>"
FRAC,"(0.7416665, 0.802778>"
FRAC,"(0.802778, inf)"
IV,"(-inf, 1.5>"
IV,"(1.5, inf)"
AGE,"(-inf, 21.5>"
AGE,"(21.5, 22.5>"
AGE,"(22.5, 24.5>"
AGE,"(24.5, 25.5>"
AGE,"(25.5, 39.5>"
AGE,"(39.5, 43.5>"
AGE,"(43.5, 45.5>"
AGE,"(45.5, inf)"
RACE,"(-inf, 0.5>"
RACE,"(0.5, inf)"
ND2,"(-inf, 0.361679>"
ND2,"(0.361679, inf)"
