attribute,value
age,"(-inf, 15.66>"
age,"(15.66, 17.155>"
age,"(17.155, 18.625>"
age,"(18.625, 19.97>"
age,"(19.97, 21.335>"
age,"(21.335, 30.810000000000002>"
age,"(30.810000000000002, 31.965>"
age,"(31.965, 33.125>"
age,"(33.125, 33.760000000000005>"
age,"(33.760000000000005, 35.065>"
age,"(35.065, 35.665>"
age,"(35.665, 36.315>"
age,"(36.315, 36.925>"
age,"(36.925, 39.925>"
age,"(39.925, 40.535>"
age,"(40.535, 42.035>"
age,"(42.035, 42.82>"
age,"(42.82, 45.31>"
age,"(45.31, 48.644999999999996>"
age,"(48.644999999999996, 53.31>"
age,"(53.31, 53.995000000000005>"
age,"(53.995000000000005, inf)"
medwidsi,{N}
