id,left,right
0,12,44
1,87,44
2,87,44
3,123,44
4,87,44
5,87,44
6,23,47
7,87,44
8,31,44
9,35,44
10,12,44
11,35,44
12,9,44
13,87,44
14,123,44
15,87,44
16,87,44
17,123,44
18,277,22
19,123,44
20,123,44
21,36,44
22,87,44
23,87,44
24,191,22
25,123,44
26,35,44
27,12,44
28,7,45
29,277,22
30,87,44
31,23,44
32,123,44
33,15,44
34,277,22
35,15,45
36,25,45
37,31,44
38,277,22
39,123,44
40,191,22
41,104,47
42,4,44
43,87,44
44,87,44
45,191,22
46,104,47
47,36,44
48,9,22
49,15,45
50,87,44
51,36,44
52,16,44
53,191,22
54,123,44
55,87,44
56,191,22
57,191,22
58,13,45
59,15,45
60,87,44
61,191,22
62,123,44
63,277,22
64,49,47
65,87,44
66,4,44
67,191,22
68,87,44
69,9,22
70,10,44
71,25,45
72,93,22
73,277,22
74,29,44
75,9,44
76,277,22
77,277,22
78,93,22
79,277,22
80,23,44
81,277,22
82,49,47
83,277,22
84,15,45
85,191,22
86,87,44
87,277,22
88,191,22
89,277,22
90,191,22
91,277,22
92,59,44
93,123,44
94,277,22
95,191,22
96,277,22
97,277,22
98,191,22
99,191,22
100,277,22
101,191,22
102,191,22
