attribute,value
SHO,"(-inf, 0.5>"
SHO,"(0.5, inf)"
CPK,"(-inf, 33.0>"
CPK,"(33.0, 47.0>"
CPK,"(47.0, 51.5>"
CPK,"(51.5, 55.5>"
CPK,"(55.5, 100.0>"
CPK,"(100.0, 152.0>"
CPK,"(152.0, 498.0>"
CPK,"(498.0, 512.0>"
CPK,"(512.0, 998.0>"
CPK,"(998.0, 4115.5>"
CPK,"(4115.5, 4710.0>"
CPK,"(4710.0, 4950.0>"
CPK,"(4950.0, 6072.5>"
CPK,"(6072.5, inf)"
AGE,"(-inf, 26.0>"
AGE,"(26.0, 28.5>"
AGE,"(28.5, 66.5>"
AGE,"(66.5, 67.5>"
AGE,"(67.5, 69.5>"
AGE,"(69.5, 74.5>"
AGE,"(74.5, 78.5>"
AGE,"(78.5, 90.5>"
AGE,"(90.5, 91.5>"
AGE,"(91.5, 94.5>"
AGE,"(94.5, inf)"
CHF,"(-inf, 0.5>"
CHF,"(0.5, inf)"
