((SensorMeasure8, (SensorMeasure8, (1915.175, 2388.125>) -> (SensorMeasure8, (1915.175, 2388.125>)) AND (SensorMeasure20, (SensorMeasure20, (14.915, 15.024999999999999>) -> (SensorMeasure20, (38.894999999999996, inf))))
((SensorMeasure2, (SensorMeasure2, (-inf, 549.235>) -> (SensorMeasure2, (604.89, inf))) AND (SensorMeasure20, (SensorMeasure20, (14.26, 14.915>) -> (SensorMeasure20, (15.024999999999999, 24.564999999999998>)))
((SensorMeasure8, (SensorMeasure8, (1915.175, 2388.125>) -> (SensorMeasure8, (1915.175, 2388.125>)) AND (SensorMeasure20, (SensorMeasure20, (-inf, 14.26>) -> (SensorMeasure20, (38.894999999999996, inf))))
((SensorMeasure2, (SensorMeasure2, (-inf, 549.235>) -> (SensorMeasure2, (604.89, inf))) AND (SensorMeasure20, (SensorMeasure20, (-inf, 14.26>) -> (SensorMeasure20, (15.024999999999999, 24.564999999999998>)))
((SensorMeasure2, (SensorMeasure2, (-inf, 549.235>) -> (SensorMeasure2, (604.89, inf))) AND (SensorMeasure20, (SensorMeasure20, (-inf, 14.26>) -> (SensorMeasure20, (15.024999999999999, 24.564999999999998>)))
((SensorMeasure2, (SensorMeasure2, (604.89, inf)) -> (SensorMeasure2, (604.89, inf))) AND (SensorMeasure20, (SensorMeasure20, (15.024999999999999, 24.564999999999998>) -> (SensorMeasure20, (15.024999999999999, 24.564999999999998>)))
((SensorMeasure8, (SensorMeasure8, (1915.175, 2388.125>) -> (SensorMeasure8, (1915.175, 2388.125>)) AND (SensorMeasure20, (SensorMeasure20, (15.024999999999999, 24.564999999999998>) -> (SensorMeasure20, (38.894999999999996, inf))))
((SensorMeasure2, (SensorMeasure2, (604.89, inf)) -> (SensorMeasure2, (604.89, inf))) AND (SensorMeasure20, (SensorMeasure20, (38.894999999999996, inf)) -> (SensorMeasure20, (15.024999999999999, 24.564999999999998>)))
((SensorMeasure2, (SensorMeasure2, (549.235, 604.89>) -> (SensorMeasure2, (604.89, inf))) AND (SensorMeasure15, (SensorMeasure15, (9.2644, inf)) -> (SensorMeasure15, (8.6212, 9.259899999999998>)) AND (SensorMeasure20, (SensorMeasure20, (-inf, 14.26>) -> (SensorMeasure20, (15.024999999999999, 24.564999999999998>)))
((SensorMeasure8, (SensorMeasure8, (1915.175, 2388.125>) -> (SensorMeasure8, (1915.175, 2388.125>)) AND (SensorMeasure20, (SensorMeasure20, (15.024999999999999, 24.564999999999998>) -> (SensorMeasure20, (38.894999999999996, inf))))
((SensorMeasure20, (SensorMeasure20, (28.585, 38.894999999999996>) -> (SensorMeasure20, (38.894999999999996, inf))))
((SensorMeasure20, (SensorMeasure20, (-inf, 14.26>) -> (SensorMeasure20, (38.894999999999996, inf))))
((SensorMeasure20, (SensorMeasure20, (38.894999999999996, inf)) -> (SensorMeasure20, (38.894999999999996, inf))))
((SensorMeasure8, (SensorMeasure8, (1915.175, 2388.125>) -> (SensorMeasure8, (1915.175, 2388.125>)) AND (SensorMeasure20, (SensorMeasure20, (-inf, 14.26>) -> (SensorMeasure20, (38.894999999999996, inf))))
((SensorMeasure20, (SensorMeasure20, (14.915, 15.024999999999999>) -> (SensorMeasure20, (38.894999999999996, inf))))
((SensorMeasure8, (SensorMeasure8, (1915.175, 2388.125>) -> (SensorMeasure8, (1915.175, 2388.125>)) AND (SensorMeasure20, (SensorMeasure20, (-inf, 14.26>) -> (SensorMeasure20, (38.894999999999996, inf))))
