((RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)))
((Rbodymass, (Rbodymass, (-inf, 27.25>) -> (Rbodymass, (60.7, inf))))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)))
((Rbodymass, (Rbodymass, (60.7, inf)) -> (Rbodymass, (60.7, inf))))
((CD3dCD34, (CD3dCD34, (0.7767255, 5.403679500000001>) -> (CD3dCD34, (0.7767255, 5.403679500000001>)) AND (CD34kgx10d6, (CD34kgx10d6, (-inf, 7.15>) -> (CD34kgx10d6, (11.855, inf))) AND (Rbodymass, (Rbodymass, (27.25, 60.7>) -> (Rbodymass, (-inf, 27.25>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Rbodymass, (Rbodymass, (27.25, 60.7>) -> (Rbodymass, (60.7, inf))))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)))
((CD3dCD34, (CD3dCD34, (0.7767255, 5.403679500000001>) -> (CD3dCD34, (0.7767255, 5.403679500000001>)) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (CD34kgx10d6, (CD34kgx10d6, (8.68, 11.739999999999998>) -> (CD34kgx10d6, (11.855, inf))) AND (Rbodymass, (Rbodymass, (27.25, 60.7>) -> (Rbodymass, (-inf, 27.25>)))
((CD3dCD34, (CD3dCD34, (0.7767255, 5.403679500000001>) -> (CD3dCD34, (0.7767255, 5.403679500000001>)) AND (CD34kgx10d6, (CD34kgx10d6, (11.855, inf)) -> (CD34kgx10d6, (11.855, inf))) AND (PLTrecovery, (PLTrecovery, (-inf, 26.5>) -> (PLTrecovery, (-inf, 26.5>)))
((CD3dCD34, (CD3dCD34, (5.403679500000001, inf)) -> (CD3dCD34, (0.7767255, 5.403679500000001>)) AND (CD34kgx10d6, (CD34kgx10d6, (11.855, inf)) -> (CD34kgx10d6, (11.855, inf))) AND (Rbodymass, (Rbodymass, (-inf, 27.25>) -> (Rbodymass, (-inf, 27.25>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)))
((CD3dCD34, (CD3dCD34, (0.7767255, 5.403679500000001>) -> (CD3dCD34, (0.7767255, 5.403679500000001>)) AND (CD34kgx10d6, (CD34kgx10d6, (8.68, 11.739999999999998>) -> (CD34kgx10d6, (11.855, inf))) AND (Rbodymass, (Rbodymass, (27.25, 60.7>) -> (Rbodymass, (-inf, 27.25>)))
((RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)))
((RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)))
((CD34kgx10d6, (CD34kgx10d6, (8.68, 11.739999999999998>) -> (CD34kgx10d6, (11.855, inf))) AND (Rbodymass, (Rbodymass, (27.25, 60.7>) -> (Rbodymass, (-inf, 27.25>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (RecipientRh, (RecipientRh, {1}) -> (RecipientRh, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (15.8, 20.15>)))
((CD34kgx10d6, (CD34kgx10d6, (7.9399999999999995, 9.595>) -> (CD34kgx10d6, (11.855, 23.814999999999998>)) AND (Donorage, (Donorage, (-inf, 30.3958905>) -> (Donorage, (30.3958905, 46.828767>)))
((Relapse, (Relapse, {0}) -> (Relapse, {0})) AND (CD34kgx10d6, (CD34kgx10d6, (11.855, 23.814999999999998>) -> (CD34kgx10d6, (11.855, 23.814999999999998>)) AND (Donorage, (Donorage, (30.3958905, 46.828767>) -> (Donorage, (30.3958905, 46.828767>)))
((Relapse, (Relapse, {0}) -> (Relapse, {0})) AND (Donorage, (Donorage, (30.3958905, 46.828767>) -> (Donorage, (30.3958905, 46.828767>)) AND (Recipientage, (Recipientage, (14.05, 19.25>) -> (Recipientage, (14.05, 19.25>)))
((Relapse, (Relapse, {0}) -> (Relapse, {0})) AND (Donorage, (Donorage, (-inf, 30.3958905>) -> (Donorage, (30.3958905, 46.828767>)) AND (Recipientage, (Recipientage, (2.0, 14.05>) -> (Recipientage, (14.05, 19.25>)))
((Relapse, (Relapse, {0}) -> (Relapse, {0})) AND (Donorage, (Donorage, (30.3958905, 46.828767>) -> (Donorage, (30.3958905, 46.828767>)) AND (Recipientage, (Recipientage, (2.0, 14.05>) -> (Recipientage, (14.05, 19.25>)))
((Relapse, (Relapse, {0}) -> (Relapse, {0})) AND (Donorage, (Donorage, (30.3958905, 46.828767>) -> (Donorage, (30.3958905, 46.828767>)) AND (Recipientage, (Recipientage, (2.0, 14.05>) -> (Recipientage, (14.05, 19.25>)))
((Relapse, (Relapse, {0}) -> (Relapse, {0})) AND (CD34kgx10d6, (CD34kgx10d6, (1.54, 7.15>) -> (CD34kgx10d6, (11.855, 23.814999999999998>)) AND (Donorage, (Donorage, (30.3958905, 46.828767>) -> (Donorage, (30.3958905, 46.828767>)))
((Relapse, (Relapse, {0}) -> (Relapse, {0})) AND (Donorage, (Donorage, (-inf, 30.3958905>) -> (Donorage, (30.3958905, 46.828767>)) AND (Recipientage, (Recipientage, (2.0, 14.05>) -> (Recipientage, (14.05, 19.25>)))
((Relapse, (Relapse, {0}) -> (Relapse, {0})) AND (CD34kgx10d6, (CD34kgx10d6, (9.75, 11.665>) -> (CD34kgx10d6, (11.855, 23.814999999999998>)) AND (Donorage, (Donorage, (30.3958905, 46.828767>) -> (Donorage, (30.3958905, 46.828767>)))
((Relapse, (Relapse, {0}) -> (Relapse, {0})) AND (Donorage, (Donorage, (30.3958905, 46.828767>) -> (Donorage, (30.3958905, 46.828767>)) AND (Recipientage, (Recipientage, (-inf, 2.0>) -> (Recipientage, (14.05, 19.25>)))
((CD34kgx10d6, (CD34kgx10d6, (1.54, 7.15>) -> (CD34kgx10d6, (11.855, 23.814999999999998>)))
((Relapse, (Relapse, {0}) -> (Relapse, {0})) AND (CD34kgx10d6, (CD34kgx10d6, (1.54, 7.15>) -> (CD34kgx10d6, (11.855, 23.814999999999998>)) AND (Donorage, (Donorage, (30.3958905, 46.828767>) -> (Donorage, (30.3958905, 46.828767>)))
((Relapse, (Relapse, {0}) -> (Relapse, {0})) AND (CD34kgx10d6, (CD34kgx10d6, (1.54, 7.15>) -> (CD34kgx10d6, (11.855, 23.814999999999998>)))
((Donorage, (Donorage, (-inf, 30.3958905>) -> (Donorage, (30.3958905, 46.828767>)) AND (Recipientage, (Recipientage, (2.0, 14.05>) -> (Recipientage, (14.05, 19.25>)))
((Relapse, (Relapse, {0}) -> (Relapse, {0})) AND (Donorage, (Donorage, (-inf, 30.3958905>) -> (Donorage, (30.3958905, 46.828767>)) AND (Recipientage, (Recipientage, (2.0, 14.05>) -> (Recipientage, (14.05, 19.25>)))
((CD34kgx10d6, (CD34kgx10d6, (11.855, 23.814999999999998>) -> (CD34kgx10d6, (11.855, 23.814999999999998>)))
((Relapse, (Relapse, {0}) -> (Relapse, {0})) AND (Donorage, (Donorage, (-inf, 30.3958905>) -> (Donorage, (30.3958905, 46.828767>)) AND (Recipientage, (Recipientage, (2.0, 14.05>) -> (Recipientage, (14.05, 19.25>)))
((Donorage, (Donorage, (-inf, 30.3958905>) -> (Donorage, (30.3958905, 46.828767>)) AND (Recipientage, (Recipientage, (2.0, 14.05>) -> (Recipientage, (14.05, 19.25>)))
