id,distance,n_actions
0,0.027394,1
1,0.038312,2
2,0.051913,2
3,0.024995,2
4,0.034057,3
5,0.038411,3
6,0.010193,1
7,0.028456,1
8,0.001062,1
9,0.001062,1
10,0.036794,2
11,0.022136,2
12,0.024634,1
13,0.038195,3
14,0.003610,1
15,0.042196,2
16,0.042039,2
17,0.026545,1
18,0.030580,1
19,0.030792,1
20,0.006371,1
21,0.039565,3
22,0.031506,2
23,0.039289,2
24,0.036435,1
25,0.030792,1
26,0.020550,3
27,0.036830,3
28,0.027607,1
29,0.033635,2
30,0.001274,1
31,0.036462,2
32,0.036479,2
33,0.021157,3
34,0.045050,3
35,0.027085,2
36,0.039731,3
37,0.020176,2
38,0.025695,1
39,0.033864,2
40,0.002336,1
41,0.033244,2
