id,left,right
0,22,33
1,221,33
2,221,33
3,57,33
4,33,33
5,114,33
6,43,95
7,221,33
8,19,95
9,33,95
10,35,33
11,44,33
12,168,95
13,44,33
14,8,95
15,221,33
16,221,114
17,47,114
18,114,33
19,221,114
20,168,95
21,57,33
22,14,114
23,221,33
24,43,95
25,168,95
26,168,95
27,221,114
28,221,33
29,221,33
30,221,33
31,43,95
32,114,33
33,68,114
34,168,95
35,33,114
36,14,114
37,114,33
38,47,33
39,44,33
40,114,33
41,168,95
42,57,114
43,221,33
44,31,33
45,68,114
46,114,33
47,68,33
48,221,114
49,35,33
50,57,114
51,221,114
52,221,33
53,57,114
54,33,33
55,47,33
56,43,95
57,221,33
58,114,33
59,221,33
60,221,114
61,57,114
62,221,33
63,33,33
64,14,33
65,22,114
66,22,114
67,43,95
68,17,95
69,33,33
70,33,95
71,221,114
72,114,33
73,17,95
74,31,33
75,221,33
76,31,33
77,2,33
78,22,33
79,5,33
80,168,95
81,221,33
82,68,114
83,114,33
84,221,114
85,47,114
86,168,95
