((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 11.55>) -> (Recipientage, (16.3, inf))))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 11.55>) -> (Recipientage, (16.3, inf))))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 11.55>) -> (Recipientage, (16.3, inf))))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 11.55>) -> (Recipientage, (16.3, inf))))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (11.55, 16.3>) -> (Recipientage, (16.3, inf))))
((CD34kgx10d6, (CD34kgx10d6, (-inf, 7.15>) -> (CD34kgx10d6, (11.855, 15.719999999999999>)))
((Recipientage, (Recipientage, (11.55, 16.3>) -> (Recipientage, (16.3, inf))))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 11.55>) -> (Recipientage, (16.3, inf))))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 11.55>) -> (Recipientage, (16.3, inf))))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (11.55, 16.3>) -> (Recipientage, (16.3, inf))))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 11.55>) -> (Recipientage, (16.3, inf))))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (16.3, inf)) -> (Recipientage, (16.3, inf))))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (16.3, inf)) -> (Recipientage, (16.3, inf))))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 11.55>) -> (Recipientage, (16.3, inf))))
((Rbodymass, (Rbodymass, (12.75, 50.3>) -> (Rbodymass, (50.3, inf))))
((Recipientage, (Recipientage, (11.55, 16.3>) -> (Recipientage, (16.3, inf))))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 11.55>) -> (Recipientage, (16.3, inf))))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 11.55>) -> (Recipientage, (16.3, inf))))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 11.55>) -> (Recipientage, (16.3, inf))))
