attribute,value
PLTrecovery,"(-inf, 26.5>"
PLTrecovery,"(26.5, inf)"
Recipientage,"(-inf, 11.55>"
Recipientage,"(11.55, 16.3>"
Recipientage,"(16.3, inf)"
CD34kgx10d6,"(-inf, 7.15>"
CD34kgx10d6,"(7.15, 7.955>"
CD34kgx10d6,"(7.955, 8.68>"
CD34kgx10d6,"(8.68, 10.925>"
CD34kgx10d6,"(10.925, 11.739999999999998>"
CD34kgx10d6,"(11.739999999999998, 11.855>"
CD34kgx10d6,"(11.855, 15.719999999999999>"
CD34kgx10d6,"(15.719999999999999, inf)"
extcGvHD,{1}
CD3dCD34,"(-inf, 0.33888399999999996>"
CD3dCD34,"(0.33888399999999996, 4.0362665>"
CD3dCD34,"(4.0362665, 77.812997>"
CD3dCD34,"(77.812997, inf)"
Rbodymass,"(-inf, 12.75>"
Rbodymass,"(12.75, 50.3>"
Rbodymass,"(50.3, inf)"
ANCrecovery,"(-inf, 10.5>"
ANCrecovery,"(10.5, inf)"
