((SensorMeasure14, (SensorMeasure14, (-inf, 8135.735000000001>) -> (SensorMeasure14, (8135.735000000001, inf))))
((SensorMeasure21, (SensorMeasure21, (14.847999999999999, 23.49055>) -> (SensorMeasure21, (6.3848, 6.46695>)))
((SensorMeasure14, (SensorMeasure14, (8135.735000000001, inf)) -> (SensorMeasure14, (8135.735000000001, inf))))
((SensorMeasure21, (SensorMeasure21, (14.847999999999999, 23.49055>) -> (SensorMeasure21, (6.3848, 6.46695>)))
((SensorMeasure14, (SensorMeasure14, (-inf, 8135.735000000001>) -> (SensorMeasure14, (8135.735000000001, inf))))
((SensorMeasure14, (SensorMeasure14, (-inf, 8135.735000000001>) -> (SensorMeasure14, (8135.735000000001, inf))))
((SensorMeasure14, (SensorMeasure14, (-inf, 8135.735000000001>) -> (SensorMeasure14, (8135.735000000001, inf))))
((SensorMeasure14, (SensorMeasure14, (-inf, 8135.735000000001>) -> (SensorMeasure14, (8135.735000000001, inf))))
((SensorMeasure21, (SensorMeasure21, (14.847999999999999, 23.49055>) -> (SensorMeasure21, (6.3848, 6.46695>)))
((SensorMeasure21, (SensorMeasure21, (14.847999999999999, 23.49055>) -> (SensorMeasure21, (6.3848, 6.46695>)))
((SensorMeasure21, (SensorMeasure21, (14.847999999999999, 23.49055>) -> (SensorMeasure21, (6.3848, 6.46695>)))
((SensorMeasure14, (SensorMeasure14, (-inf, 8135.735000000001>) -> (SensorMeasure14, (8135.735000000001, inf))))
((SensorMeasure14, (SensorMeasure14, (-inf, 8135.735000000001>) -> (SensorMeasure14, (8135.735000000001, inf))))
((SensorMeasure14, (SensorMeasure14, (-inf, 8135.735000000001>) -> (SensorMeasure14, (8135.735000000001, inf))))
((SensorMeasure14, (SensorMeasure14, (-inf, 8135.735000000001>) -> (SensorMeasure14, (8135.735000000001, inf))))
((SensorMeasure14, (SensorMeasure14, (-inf, 8135.735000000001>) -> (SensorMeasure14, (8135.735000000001, inf))))
((SensorMeasure21, (SensorMeasure21, (14.847999999999999, 23.49055>) -> (SensorMeasure21, (6.3848, 6.46695>)))
((SensorMeasure21, (SensorMeasure21, (14.847999999999999, 23.49055>) -> (SensorMeasure21, (6.3848, 6.46695>)))
((SensorMeasure14, (SensorMeasure14, (-inf, 8135.735000000001>) -> (SensorMeasure14, (8135.735000000001, inf))))
((SensorMeasure14, (SensorMeasure14, (-inf, 8135.735000000001>) -> (SensorMeasure14, (8135.735000000001, inf))))
((SensorMeasure14, (SensorMeasure14, (-inf, 8135.735000000001>) -> (SensorMeasure14, (8135.735000000001, inf))))
((SensorMeasure14, (SensorMeasure14, (-inf, 8135.735000000001>) -> (SensorMeasure14, (8135.735000000001, inf))))
((SensorMeasure14, (SensorMeasure14, (-inf, 8135.735000000001>) -> (SensorMeasure14, (8135.735000000001, inf))))
((SensorMeasure14, (SensorMeasure14, (-inf, 8135.735000000001>) -> (SensorMeasure14, (8135.735000000001, inf))))
((SensorMeasure14, (SensorMeasure14, (-inf, 8135.735000000001>) -> (SensorMeasure14, (8135.735000000001, inf))))
