time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, r12_l, r12_r, r13_l, r13_r, r14_l, r14_r, r15_l, r15_r, 
1.0, 0.996203, 0.992063, 0.997658, 0.993243, 1.000000, 1.000000, 1.000000, 0.995763, 0.997817, 1.000000, 0.987342, 1.000000, 0.995050, 1.000000, 0.994048, 1.000000, 0.994186, 0.988701, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.991770, 1.000000, 1.000000, 0.995935, 0.995763, 0.996835, 0.994475, 
2.0, 0.993645, 0.983932, 0.995300, 0.993243, 0.996047, 1.000000, 1.000000, 0.991471, 0.995619, 1.000000, 0.987342, 1.000000, 0.990024, 1.000000, 0.988023, 1.000000, 0.991236, 0.982885, 0.997326, 0.990826, 1.000000, 0.993333, 0.983051, 0.996212, 0.987567, 1.000000, 1.000000, 0.991853, 0.991471, 0.993661, 0.988857, 
3.0, 0.985962, 0.959537, 0.995300, 0.972551, 0.996047, 0.991935, 0.992157, 0.974302, 0.993416, 1.000000, 0.987342, 1.000000, 0.974947, 0.995074, 0.969949, 0.990868, 0.982386, 0.965437, 0.997326, 0.990826, 1.000000, 0.993333, 0.966102, 0.996212, 0.966555, 1.000000, 1.000000, 0.987772, 0.974302, 0.993661, 0.966383, 
4.0, 0.982111, 0.951405, 0.990571, 0.972551, 0.992079, 0.983871, 0.988235, 0.970010, 0.989001, 1.000000, 0.987342, 1.000000, 0.969922, 0.990148, 0.963925, 0.986301, 0.979418, 0.959621, 0.991964, 0.990826, 1.000000, 0.993333, 0.966102, 0.992410, 0.962353, 1.000000, 1.000000, 0.987772, 0.970010, 0.987312, 0.960764, 
5.0, 0.973065, 0.935002, 0.978694, 0.965604, 0.980030, 0.967473, 0.976424, 0.961311, 0.977913, 1.000000, 0.987342, 0.993939, 0.959766, 0.985197, 0.951723, 0.977126, 0.973446, 0.947918, 0.978523, 0.971953, 0.967213, 0.972922, 0.966102, 0.980825, 0.953911, 1.000000, 0.967742, 0.971309, 0.961311, 0.974531, 0.949461, 
6.0, 0.973065, 0.935002, 0.978694, 0.965604, 0.980030, 0.967473, 0.976424, 0.961311, 0.977913, 1.000000, 0.987342, 0.993939, 0.959766, 0.985197, 0.951723, 0.977126, 0.973446, 0.947918, 0.978523, 0.971953, 0.967213, 0.972922, 0.966102, 0.980825, 0.953911, 1.000000, 0.967742, 0.971309, 0.961311, 0.974531, 0.949461, 
7.0, 0.970428, 0.926727, 0.976259, 0.958556, 0.975912, 0.959204, 0.972438, 0.956901, 0.975644, 1.000000, 0.987342, 0.993939, 0.954606, 0.985197, 0.945583, 0.972496, 0.970404, 0.941957, 0.978523, 0.971953, 0.967213, 0.972922, 0.966102, 0.980825, 0.949614, 1.000000, 0.967742, 0.967067, 0.956901, 0.971250, 0.943741, 
8.0, 0.967784, 0.926727, 0.971390, 0.958556, 0.975912, 0.959204, 0.972438, 0.956901, 0.971085, 1.000000, 0.987342, 0.993939, 0.954606, 0.985197, 0.945583, 0.972496, 0.967352, 0.941957, 0.975782, 0.971953, 0.967213, 0.972922, 0.966102, 0.980825, 0.949614, 1.000000, 0.935484, 0.967067, 0.956901, 0.971250, 0.943741, 
9.0, 0.963806, 0.910179, 0.971390, 0.944459, 0.975912, 0.950935, 0.972438, 0.948082, 0.971085, 1.000000, 0.974350, 0.993939, 0.944286, 0.985197, 0.933303, 0.972496, 0.958197, 0.924071, 0.975782, 0.971953, 0.967213, 0.972922, 0.949153, 0.980825, 0.936723, 1.000000, 0.935484, 0.967067, 0.948082, 0.971250, 0.932302, 
10.0, 0.961148, 0.910179, 0.968937, 0.944459, 0.975912, 0.950935, 0.968386, 0.943672, 0.968784, 1.000000, 0.974350, 0.993939, 0.944286, 0.980145, 0.933303, 0.972496, 0.955146, 0.924071, 0.973018, 0.971953, 0.950244, 0.972922, 0.949153, 0.980825, 0.932426, 1.000000, 0.935484, 0.967067, 0.943672, 0.971250, 0.926582, 
