rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 6, 6, 4, 15.9494, 54.0506, 0.0000, 0.0000, 315.0000, 846.0000, -531.0000
r2, 4, 4, 2, 18.7342, 32.1519, 0.0000, 0.0000, 339.0000, 1087.0000, -748.0000
r3, 5, 5, 4, 15.6962, 32.6582, 0.0000, 0.0000, 360.0000, 1207.0000, -847.0000
r4, 2, 2, 1, 29.8734, 57.9747, 0.0000, 0.0000, 390.0000, 846.0000, -456.0000
r5, 7, 5, 2, 12.7848, 10.0000, 0.0000, 0.0000, 1481.0000, 377.0000, 1104.0000
r6, 6, 6, 4, 21.2658, 25.5696, 0.0000, 0.0000, 1327.0000, 367.0000, 960.0000
r7, 6, 3, 1, 25.8228, 21.2658, 0.0000, 0.0000, 1207.0000, 339.0000, 868.0000
r8, 4, 4, 2, 28.1013, 43.5443, 0.0000, 0.0000, 1327.0000, 465.0000, 862.0000
r9, 5, 3, 1, 22.4051, 47.4684, 0.0000, 0.0000, 315.0000, 846.0000, -531.0000
r10, 7, 6, 1, 13.9241, 8.1013, 0.0000, 0.0000, 1529.0000, 273.0000, 1256.0000
r11, 7, 7, 4, 19.1139, 7.5949, 0.0000, 0.0000, 1162.0000, 331.0000, 831.0000
r12, 3, 3, 0, 33.5443, 30.7595, 0.0000, 0.0000, 846.0000, 373.0000, 473.0000
r13, 3, 3, 0, 12.1519, 3.9241, 0.0000, 0.0000, 1425.0000, 193.0000, 1232.0000
r14, 6, 6, 4, 31.1392, 29.8734, 0.0000, 0.0000, 1138.0000, 390.0000, 748.0000
r15, 3, 3, 1, 40.0000, 22.9114, 0.0000, 0.0000, 846.0000, 367.0000, 479.0000
