attribute,value
SHO,"(-inf, 0.5>"
SHO,"(0.5, inf)"
CPK,"(-inf, 33.0>"
CPK,"(33.0, 34.0>"
CPK,"(34.0, 37.5>"
CPK,"(37.5, 44.5>"
CPK,"(44.5, 73.0>"
CPK,"(73.0, 95.5>"
CPK,"(95.5, 152.0>"
CPK,"(152.0, 195.5>"
CPK,"(195.5, 512.0>"
CPK,"(512.0, 2982.5>"
CPK,"(2982.5, 4046.5>"
CPK,"(4046.5, 4115.5>"
CPK,"(4115.5, 4710.0>"
CPK,"(4710.0, 4770.5>"
CPK,"(4770.5, 4950.0>"
CPK,"(4950.0, 6252.5>"
CPK,"(6252.5, 7700.0>"
CPK,"(7700.0, inf)"
AGE,"(-inf, 26.0>"
AGE,"(26.0, 28.5>"
AGE,"(28.5, 30.5>"
AGE,"(30.5, 63.5>"
AGE,"(63.5, 66.5>"
AGE,"(66.5, 67.5>"
AGE,"(67.5, 70.5>"
AGE,"(70.5, 74.5>"
AGE,"(74.5, 75.5>"
AGE,"(75.5, 77.5>"
AGE,"(77.5, 78.5>"
AGE,"(78.5, 91.5>"
AGE,"(91.5, 94.5>"
AGE,"(94.5, inf)"
CHF,"(-inf, 0.5>"
CHF,"(0.5, inf)"
