attribute,value
PLTrecovery,"(-inf, 18.0>"
PLTrecovery,"(18.0, 23.5>"
PLTrecovery,"(23.5, 26.5>"
PLTrecovery,"(26.5, 89.5>"
PLTrecovery,"(89.5, 500142.5>"
PLTrecovery,"(500142.5, inf)"
CD34kgx10d6,"(-inf, 0.8049999999999999>"
CD34kgx10d6,"(0.8049999999999999, 1.33>"
CD34kgx10d6,"(1.33, 7.15>"
CD34kgx10d6,"(7.15, 11.77>"
CD34kgx10d6,"(11.77, 11.870000000000001>"
CD34kgx10d6,"(11.870000000000001, 23.814999999999998>"
CD34kgx10d6,"(23.814999999999998, 41.515>"
CD34kgx10d6,"(41.515, inf)"
Recipientage,"(-inf, 1.0>"
Recipientage,"(1.0, 14.05>"
Recipientage,"(14.05, 18.950000000000003>"
Recipientage,"(18.950000000000003, inf)"
Donorage,"(-inf, 43.446575>"
Donorage,"(43.446575, inf)"
extcGvHD,{1}
Relapse,{0}
Rbodymass,"(-inf, 31.9>"
Rbodymass,"(31.9, 37.25>"
Rbodymass,"(37.25, inf)"
