id,left,right
0,126,23
1,226,249
2,126,23
3,101,56
4,226,249
5,226,249
6,226,249
7,421,23
8,226,249
9,40,249
10,142,249
11,421,23
12,11,249
13,142,249
14,126,23
15,226,249
16,17,153
17,226,249
18,421,23
19,226,249
20,5,249
21,226,249
22,40,249
23,226,249
24,421,23
25,421,23
26,142,249
27,142,249
28,421,23
29,226,249
30,133,249
31,133,249
32,40,249
33,6,249
34,133,249
35,2,23
36,3,23
37,421,23
38,421,23
39,421,23
40,421,23
41,421,23
42,421,23
43,142,249
44,101,56
45,356,56
46,76,249
47,421,23
48,11,249
49,356,56
50,421,23
51,133,249
52,421,23
53,133,249
54,76,249
55,126,23
56,226,249
57,133,249
58,226,249
59,9,23
60,126,23
61,142,249
62,226,249
63,421,23
64,421,23
65,421,23
66,133,249
67,142,249
68,226,249
69,226,249
70,421,23
71,421,23
72,421,23
73,421,23
74,133,249
75,142,249
76,421,23
77,226,249
78,421,23
79,40,249
80,226,249
81,226,249
82,421,23
83,226,249
84,133,249
85,421,23
86,226,249
87,188,23
88,421,23
89,226,249
90,101,56
91,421,23
92,142,249
93,226,249
94,142,249
95,101,56
96,101,56
97,421,23
98,421,23
99,421,23
100,133,249
101,421,23
102,421,23
