attribute,value
albumin,"(-inf, 3.0149999999999997>"
albumin,"(3.0149999999999997, 3.13>"
albumin,"(3.13, 3.16>"
albumin,"(3.16, 3.29>"
albumin,"(3.29, 3.315>"
albumin,"(3.315, 3.5949999999999998>"
albumin,"(3.5949999999999998, 3.725>"
albumin,"(3.725, 3.8449999999999998>"
albumin,"(3.8449999999999998, 4.03>"
albumin,"(4.03, 4.390000000000001>"
albumin,"(4.390000000000001, inf)"
bili,"(-inf, 0.35>"
bili,"(0.35, 1.35>"
bili,"(1.35, 1.85>"
bili,"(1.85, 1.95>"
bili,"(1.95, 2.25>"
bili,"(2.25, 6.199999999999999>"
bili,"(6.199999999999999, inf)"
age,"(-inf, 29.9151265>"
age,"(29.9151265, 31.2525665>"
age,"(31.2525665, 37.6988365>"
age,"(37.6988365, 43.100616>"
age,"(43.100616, 43.393566>"
age,"(43.393566, 66.1218345>"
age,"(66.1218345, 67.360712>"
age,"(67.360712, 69.232033>"
age,"(69.232033, 69.50034249999999>"
age,"(69.50034249999999, inf)"
protime,"(-inf, 10.25>"
protime,"(10.25, 11.25>"
protime,"(11.25, inf)"
edema,"(-inf, 0.75>"
edema,"(0.75, inf)"
