time, entire-set, r1_l, r1_r, r2_l, r2_r, 
37.0, 0.988889, 1.000000, 1.000000, 0.971429, 1.000000, 
40.0, 0.977778, 1.000000, 1.000000, 0.942857, 1.000000, 
46.0, 0.966667, 1.000000, 1.000000, 0.914286, 1.000000, 
55.0, 0.944444, 1.000000, 0.939394, 0.857143, 1.000000, 
63.0, 0.933333, 1.000000, 0.909091, 0.828571, 1.000000, 
64.0, 0.922222, 1.000000, 0.878788, 0.800000, 1.000000, 
67.0, 0.900000, 1.000000, 0.818182, 0.771429, 0.970588, 
69.0, 0.888889, 1.000000, 0.818182, 0.771429, 0.970588, 
75.0, 0.877778, 1.000000, 0.818182, 0.771429, 0.970588, 
77.0, 0.866667, 0.966667, 0.818182, 0.771429, 0.970588, 
78.0, 0.855556, 0.966667, 0.818182, 0.771429, 0.970588, 
83.0, 0.844444, 0.966667, 0.787879, 0.742857, 0.970588, 
84.0, 0.833333, 0.966667, 0.787879, 0.714286, 0.970588, 
87.0, 0.822222, 0.966667, 0.787879, 0.714286, 0.941176, 
88.0, 0.811111, 0.966667, 0.757576, 0.685714, 0.941176, 
89.0, 0.800000, 0.933333, 0.757576, 0.685714, 0.911765, 
94.0, 0.788889, 0.933333, 0.727273, 0.657143, 0.911765, 
100.0, 0.777778, 0.933333, 0.727273, 0.657143, 0.911765, 
102.0, 0.766667, 0.933333, 0.696970, 0.628571, 0.911765, 
103.0, 0.755556, 0.933333, 0.696970, 0.600000, 0.911765, 
104.0, 0.733333, 0.933333, 0.636364, 0.571429, 0.882353, 
107.0, 0.722222, 0.933333, 0.606061, 0.542857, 0.882353, 
108.0, 0.711111, 0.933333, 0.575758, 0.542857, 0.852941, 
111.0, 0.700000, 0.933333, 0.575758, 0.542857, 0.823529, 
114.0, 0.688889, 0.933333, 0.545455, 0.542857, 0.823529, 
117.0, 0.666667, 0.900000, 0.515152, 0.514286, 0.823529, 
118.0, 0.644444, 0.900000, 0.454545, 0.485714, 0.794118, 
119.0, 0.622222, 0.900000, 0.424242, 0.457143, 0.794118, 
121.0, 0.611111, 0.900000, 0.393939, 0.428571, 0.794118, 
123.0, 0.600000, 0.900000, 0.363636, 0.400000, 0.794118, 
125.0, 0.588889, 0.900000, 0.363636, 0.400000, 0.794118, 
129.0, 0.577778, 0.900000, 0.333333, 0.400000, 0.764706, 
130.0, 0.566667, 0.900000, 0.303030, 0.400000, 0.735294, 
132.0, 0.555556, 0.900000, 0.272727, 0.371429, 0.735294, 
136.0, 0.544444, 0.900000, 0.272727, 0.371429, 0.705882, 
137.0, 0.533333, 0.866667, 0.272727, 0.371429, 0.705882, 
143.0, 0.522222, 0.833333, 0.272727, 0.371429, 0.676471, 
145.0, 0.500000, 0.833333, 0.272727, 0.342857, 0.676471, 
146.0, 0.488889, 0.833333, 0.242424, 0.314286, 0.676471, 
148.0, 0.477778, 0.833333, 0.242424, 0.285714, 0.676471, 
151.0, 0.466667, 0.833333, 0.242424, 0.285714, 0.647059, 
154.0, 0.455556, 0.833333, 0.242424, 0.285714, 0.617647, 
157.0, 0.444444, 0.800000, 0.242424, 0.257143, 0.617647, 
161.0, 0.433333, 0.800000, 0.242424, 0.228571, 0.617647, 
167.0, 0.422222, 0.800000, 0.212121, 0.200000, 0.617647, 
168.0, 0.411111, 0.800000, 0.181818, 0.171429, 0.617647, 
169.0, 0.400000, 0.800000, 0.181818, 0.142857, 0.617647, 
173.0, 0.388889, 0.800000, 0.151515, 0.114286, 0.617647, 
178.0, 0.377778, 0.800000, 0.121212, 0.085714, 0.617647, 
179.0, 0.344444, 0.766667, 0.121212, 0.085714, 0.529412, 
181.0, 0.333333, 0.766667, 0.090909, 0.057143, 0.529412, 
185.0, 0.322222, 0.733333, 0.090909, 0.057143, 0.529412, 
187.0, 0.311111, 0.700000, 0.090909, 0.057143, 0.529412, 
190.0, 0.300000, 0.666667, 0.090909, 0.057143, 0.500000, 
191.0, 0.288889, 0.666667, 0.060606, 0.028571, 0.500000, 
193.0, 0.277778, 0.633333, 0.060606, 0.028571, 0.470588, 
202.0, 0.266667, 0.633333, 0.030303, 0.000000, 0.470588, 
205.0, 0.255556, 0.633333, 0.000000, 0.000000, 0.441176, 
206.0, 0.244444, 0.600000, 0.000000, 0.000000, 0.411765, 
210.0, 0.233333, 0.600000, 0.000000, 0.000000, 0.411765, 
212.0, 0.222222, 0.566667, 0.000000, 0.000000, 0.382353, 
217.0, 0.211111, 0.566667, 0.000000, 0.000000, 0.352941, 
223.0, 0.200000, 0.533333, 0.000000, 0.000000, 0.323529, 
229.0, 0.200000, 0.533333, 0.000000, 0.000000, 0.323529, 

