id,distance,n_actions
0,0.008961,1
1,0.029122,1
2,0.004480,1
3,0.060484,1
4,0.053763,1
5,0.015681,1
6,0.105287,1
7,0.013441,1
8,0.064964,1
9,0.022401,1
10,0.242832,2
11,0.004480,1
12,0.047043,1
13,0.006720,1
14,0.011201,1
15,0.042652,1
16,0.017921,1
17,0.006720,1
18,0.053763,1
19,0.004480,1
20,0.024642,1
21,0.008961,1
22,0.020161,1
23,0.053763,1
24,0.022401,1
25,0.004480,1
26,0.173387,2
27,0.006720,1
28,0.107527,1
29,0.011201,1
30,0.002240,1
31,0.022401,1
32,0.204749,2
33,0.098566,1
34,0.053763,1
35,0.096326,1
36,0.047043,1
37,0.087366,1
38,0.069444,1
39,0.017921,1
40,0.011201,1
41,0.175627,2
42,0.062724,1
43,0.076165,1
44,0.040323,1
45,0.074731,1
46,0.008961,1
47,0.051725,1
48,0.078405,1
49,0.168145,2
50,0.049283,1
51,0.029122,1
52,0.098566,1
53,0.026882,1
54,0.013441,1
55,0.004480,1
56,0.035842,1
57,0.098566,1
58,0.098566,1
59,0.049216,1
60,0.024171,1
61,0.015323,1
62,0.241622,2
63,0.013441,1
64,0.168907,2
65,0.024440,1
66,0.098701,1
67,0.003920,1
68,0.190367,2
69,0.057303,1
70,0.006720,1
71,0.024485,1
72,0.029346,1
73,0.103047,1
74,0.005981,1
75,0.022782,1
76,0.022401,1
77,0.013441,1
78,0.208020,2
79,0.026635,1
80,0.096326,1
81,0.262119,2
82,0.046931,1
83,0.225157,2
84,0.006720,1
85,0.049283,1
86,0.051635,1
