id,distance,n_actions
0,0.058483,2
1,0.058320,2
2,0.038184,2
3,0.021752,2
4,0.033437,2
5,0.016379,2
6,0.032521,2
7,0.044780,2
8,0.046873,2
9,0.019043,2
10,0.027436,2
11,0.041752,2
12,0.078977,2
13,0.025558,2
14,0.013770,2
15,0.031774,2
16,0.030705,2
17,0.008710,2
18,0.056709,2
19,0.039141,2
20,0.031774,2
21,0.020073,2
22,0.015836,2
23,0.032750,2
24,0.053504,2
25,0.035972,2
26,0.034326,2
27,0.031968,2
28,0.032489,2
29,0.017955,2
30,0.023316,2
31,0.027844,2
32,0.041519,2
33,0.025000,1
34,0.025904,2
35,0.045287,2
36,0.039739,2
37,0.032575,2
38,0.025191,2
39,0.049936,2
40,0.022211,2
41,0.057504,2
42,0.050525,1
43,0.027695,2
44,0.043889,2
45,0.030456,2
46,0.028760,2
47,0.034694,2
48,0.014874,2
49,0.010391,2
50,0.073256,3
51,0.035684,2
52,0.029947,2
53,0.033889,2
54,0.014401,2
55,0.053504,2
56,0.037479,2
57,0.064361,3
58,0.039194,2
59,0.019023,2
60,0.044551,2
61,0.054427,3
62,0.056508,2
63,0.057242,2
64,0.019828,2
65,0.059905,2
66,0.033093,2
67,0.020216,2
