id,left,right
0,18,95
1,221,114
2,81,42
3,43,95
4,19,95
5,114,33
6,43,95
7,221,114
8,33,114
9,33,95
10,35,33
11,44,33
12,168,95
13,44,33
14,14,114
15,81,42
16,221,114
17,47,114
18,114,22
19,221,114
20,168,95
21,57,33
22,14,114
23,168,95
24,68,33
25,168,95
26,168,95
27,221,114
28,221,114
29,168,95
30,221,114
31,68,114
32,114,33
33,31,42
34,168,95
35,8,49
36,14,114
37,114,22
38,47,114
39,44,33
40,114,33
41,168,95
42,57,114
43,221,114
44,31,33
45,68,114
46,114,33
47,66,104
48,221,114
49,35,33
50,57,114
51,221,114
52,221,114
53,57,31
54,33,33
55,47,33
56,43,95
57,221,114
58,114,33
59,168,95
60,110,49
61,57,114
62,221,33
63,33,33
64,14,114
65,22,114
66,22,33
67,22,42
68,23,33
69,33,33
70,33,95
71,221,114
72,114,33
73,17,95
74,31,33
75,221,114
76,31,33
77,2,33
78,22,33
79,5,33
80,168,95
81,168,95
82,68,114
83,114,22
84,221,114
85,47,114
86,221,114
