time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, r12_l, r12_r, r13_l, r13_r, 
8.0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
15.0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
16.0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
17.0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
18.0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
29.0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
42.0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
46.0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
57.0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
63.0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
65.0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
67.0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
71.0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
72.0, 0.998344, 0.980392, 1.000000, 0.989796, 1.000000, 0.992537, 1.000000, 1.000000, 1.000000, 0.994764, 1.000000, 0.993377, 1.000000, 0.995918, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.979592, 0.996667, 1.000000, 
98.0, 0.996689, 0.980392, 1.000000, 0.979592, 1.000000, 0.985075, 1.000000, 0.993197, 1.000000, 0.989529, 1.000000, 0.986755, 1.000000, 0.991837, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.995951, 1.000000, 1.000000, 0.979592, 0.993333, 1.000000, 
113.0, 0.995033, 0.980392, 1.000000, 0.969388, 1.000000, 0.977612, 1.000000, 0.986395, 1.000000, 0.984293, 1.000000, 0.980132, 1.000000, 0.987755, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.995951, 1.000000, 1.000000, 0.979592, 0.990000, 1.000000, 
114.0, 0.995033, 0.980392, 1.000000, 0.969388, 1.000000, 0.977612, 1.000000, 0.986395, 1.000000, 0.984293, 1.000000, 0.980132, 1.000000, 0.987755, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.995951, 1.000000, 1.000000, 0.979592, 0.990000, 1.000000, 
120.0, 0.993375, 0.980392, 1.000000, 0.959184, 1.000000, 0.970149, 1.000000, 0.979592, 1.000000, 0.979058, 1.000000, 0.973465, 1.000000, 0.983657, 1.000000, 0.990909, 1.000000, 0.992481, 1.000000, 0.994792, 1.000000, 0.991886, 1.000000, 1.000000, 0.979592, 0.986655, 1.000000, 
148.0, 0.993375, 0.980392, 1.000000, 0.959184, 1.000000, 0.970149, 1.000000, 0.979592, 1.000000, 0.979058, 1.000000, 0.973465, 1.000000, 0.983657, 1.000000, 0.990909, 1.000000, 0.992481, 1.000000, 0.994792, 1.000000, 0.991886, 1.000000, 1.000000, 0.979592, 0.986655, 1.000000, 
160.0, 0.991714, 0.980392, 1.000000, 0.948980, 1.000000, 0.962687, 1.000000, 0.972789, 1.000000, 0.973822, 1.000000, 0.966797, 1.000000, 0.979558, 1.000000, 0.981818, 1.000000, 0.984962, 1.000000, 0.989583, 1.000000, 0.987821, 1.000000, 1.000000, 0.979592, 0.983299, 1.000000, 
168.0, 0.991714, 0.980392, 1.000000, 0.948980, 1.000000, 0.962687, 1.000000, 0.972789, 1.000000, 0.973822, 1.000000, 0.966797, 1.000000, 0.979558, 1.000000, 0.981818, 1.000000, 0.984962, 1.000000, 0.989583, 1.000000, 0.987821, 1.000000, 1.000000, 0.979592, 0.983299, 1.000000, 
169.0, 0.990050, 0.960784, 1.000000, 0.938776, 1.000000, 0.955224, 1.000000, 0.965986, 1.000000, 0.968586, 1.000000, 0.960130, 1.000000, 0.975459, 1.000000, 0.981818, 1.000000, 0.984962, 1.000000, 0.989583, 1.000000, 0.983739, 1.000000, 1.000000, 0.979592, 0.979932, 1.000000, 
171.0, 0.988386, 0.960784, 1.000000, 0.938776, 1.000000, 0.955224, 1.000000, 0.959184, 1.000000, 0.963351, 1.000000, 0.960130, 1.000000, 0.971361, 1.000000, 0.981818, 1.000000, 0.984962, 1.000000, 0.989583, 1.000000, 0.983739, 1.000000, 1.000000, 0.979592, 0.979932, 1.000000, 
