rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 5, 5, 0, 8.4279, 40.8428, 0.0000, 0.0000, 544.0000, 2659.0000, -2115.0000
r2, 4, 4, 0, 16.3695, 42.4635, 0.0000, 0.0000, 624.0000, 2659.0000, -2035.0000
r3, 4, 4, 0, 22.3663, 41.9773, 0.0000, 0.0000, 712.0000, 2659.0000, -1947.0000
r4, 4, 4, 0, 24.7974, 41.3290, 0.0000, 0.0000, 745.0000, 2659.0000, -1914.0000
r5, 3, 3, 0, 32.0908, 43.5981, 0.0000, 0.0000, 836.0000, 2659.0000, -1823.0000
r6, 2, 2, 0, 25.2836, 48.2982, 0.0000, 0.0000, 679.0000, 2659.0000, -1980.0000
r7, 2, 2, 0, 40.8428, 48.2982, 0.0000, 0.0000, 945.0000, 2659.0000, -1714.0000
r8, 4, 4, 0, 18.4765, 25.9319, 0.0000, 0.0000, 679.0000, 2659.0000, -1980.0000
r9, 4, 4, 0, 22.0421, 27.3906, 0.0000, 0.0000, 842.0000, 2659.0000, -1817.0000
r10, 4, 4, 0, 31.9287, 27.3906, 0.0000, 0.0000, 893.0000, 2659.0000, -1766.0000
r11, 2, 2, 0, 41.0049, 28.8493, 0.0000, 0.0000, 1108.0000, 2659.0000, -1551.0000
r12, 5, 5, 0, 37.6013, 8.2658, 0.0000, 0.0000, 2659.0000, 540.0000, 2119.0000
r13, 1, 1, 0, 49.7569, 30.3079, 0.0000, 0.0000, 1192.0000, 2659.0000, -1467.0000
