id,p
0,0.000016
1,0.000000
2,0.000002
3,0.000003
4,0.000001
5,0.000000
6,0.000000
7,0.000007
8,0.000156
9,0.000012
10,0.000001
11,0.000029
12,0.000026
13,0.000002
14,0.000000
15,0.000026
16,0.000189
17,0.000026
18,0.000001
19,0.000026
20,0.000000
21,0.000003
22,0.000003
23,0.000003
24,0.000000
25,0.000007
26,0.000000
27,0.000000
28,0.000000
29,0.000001
30,0.000009
31,0.000002
32,0.000026
33,0.000007
34,0.000068
35,0.000000
36,0.000000
37,0.000112
38,0.000007
39,0.000012
40,0.000001
41,0.000016
42,0.000000
43,0.000000
44,0.000003
45,0.000000
46,0.000000
47,0.000000
48,0.000001
49,0.000003
50,0.000002
51,0.000156
52,0.000003
53,0.000003
54,0.000265
55,0.000000
56,0.000003
57,0.000016
58,0.000001
59,0.000002
60,0.000000
61,0.001467
62,0.000001
63,0.000763
64,0.000005
65,0.000000
66,0.000002
67,0.000029
68,0.000003
69,0.000001
70,0.000000
71,0.000002
72,0.000001
73,0.000000
74,0.000000
75,0.000012
76,0.000003
77,0.000000
78,0.000003
79,0.000000
80,0.000001
81,0.000001
82,0.000001
83,0.000000
84,0.000005
85,0.000001
86,0.000385
87,0.000001
88,0.000001
89,0.000003
90,0.000000
91,0.000001
92,0.000016
93,0.000058
94,0.000002
95,0.000000
96,0.000000
97,0.000126
98,0.000189
99,0.000005
