attribute,value
sevdysp,{Worst isn't severe}
dysp1,"(-inf, 1.5>"
dysp1,"(1.5, 2.5>"
dysp1,"(2.5, inf)"
mildysp,{Worst isn't mild}
agepill,"(-inf, 41.5>"
agepill,"(41.5, 42.5>"
agepill,"(42.5, 44.5>"
agepill,"(44.5, 45.5>"
agepill,"(45.5, 49.5>"
agepill,"(49.5, 50.5>"
agepill,"(50.5, 54.5>"
agepill,"(54.5, 56.5>"
agepill,"(56.5, 62.5>"
agepill,"(62.5, inf)"
stdagepill,"(-inf, -2.2727269999999997>"
stdagepill,"(-2.2727269999999997, -1.363636>"
stdagepill,"(-1.363636, 1.7272729999999998>"
stdagepill,"(1.7272729999999998, 1.909091>"
stdagepill,"(1.909091, inf)"
moddysp,{Worst isn't moderate}
sex,{Male}
sex,{Female}
smoke,{Ever}
basehist,{Normal}
