((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (sex, (sex, {Male}) -> (sex, {Female})))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (1.5, 2.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (1.5, 2.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (1.5, 2.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (1.7272729999999998, 1.909091>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (1.5, 2.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (1.5, 2.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
