time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, r12_l, r12_r, r13_l, r13_r, r14_l, r14_r, r15_l, r15_r, r16_l, r16_r, r17_l, r17_r, r18_l, r18_r, r19_l, r19_r, r20_l, r20_r, r21_l, r21_r, r22_l, r22_r, r23_l, r23_r, 
1.0, 0.994444, 0.967742, 1.000000, 0.982456, 1.000000, 1.000000, 1.000000, 0.989950, 1.000000, 0.991379, 0.994152, 0.992780, 0.993007, 0.993289, 1.000000, 0.992674, 0.994819, 0.993031, 0.992908, 0.992228, 0.996032, 1.000000, 0.982143, 1.000000, 0.982143, 0.991453, 0.982143, 0.993103, 0.982143, 0.995050, 0.983871, 0.995305, 0.981481, 0.996212, 0.992857, 0.994595, 0.980000, 0.996109, 0.984615, 0.996310, 1.000000, 0.997175, 0.971429, 0.995272, 0.991477, 0.994203, 0.993197, 
2.0, 0.983333, 0.935484, 1.000000, 0.964912, 1.000000, 0.988764, 1.000000, 0.979899, 0.992908, 0.982759, 0.988304, 0.981949, 0.986014, 0.983221, 1.000000, 0.981685, 0.994819, 0.982578, 0.985816, 0.981865, 0.984127, 1.000000, 0.964286, 1.000000, 0.964286, 0.991453, 0.964286, 0.993103, 0.964286, 0.995050, 0.967742, 0.985915, 0.962963, 0.984848, 0.982143, 0.994595, 0.960000, 0.996109, 0.969231, 0.996310, 0.968750, 0.991525, 0.957143, 0.985816, 0.980114, 0.982609, 0.986395, 
3.0, 0.980000, 0.935484, 1.000000, 0.964912, 1.000000, 0.977528, 1.000000, 0.969849, 0.992908, 0.974138, 0.988304, 0.974729, 0.986014, 0.976510, 1.000000, 0.974359, 0.994819, 0.979094, 0.985816, 0.976684, 0.980159, 1.000000, 0.964286, 1.000000, 0.964286, 0.991453, 0.964286, 0.993103, 0.964286, 0.995050, 0.967742, 0.985915, 0.962963, 0.981061, 0.975000, 0.994595, 0.960000, 0.996109, 0.969231, 0.996310, 0.968750, 0.991525, 0.957143, 0.983452, 0.974432, 0.976812, 0.986395, 
4.0, 0.971111, 0.903226, 0.972222, 0.947368, 0.969697, 0.943820, 0.990385, 0.949749, 0.985816, 0.956897, 0.982456, 0.960289, 0.979021, 0.963087, 1.000000, 0.959707, 0.989637, 0.965157, 0.978723, 0.966321, 0.972222, 1.000000, 0.946429, 1.000000, 0.946429, 0.991453, 0.946429, 0.986207, 0.946429, 0.990099, 0.951613, 0.981221, 0.944444, 0.973485, 0.960714, 0.994595, 0.940000, 0.992218, 0.953846, 0.988930, 0.968750, 0.985876, 0.942857, 0.973995, 0.963068, 0.965217, 0.979592, 
5.0, 0.961111, 0.903226, 0.972222, 0.947368, 0.969697, 0.932584, 0.980769, 0.944724, 0.971631, 0.952586, 0.964912, 0.953069, 0.958042, 0.956376, 0.982759, 0.956044, 0.974093, 0.958188, 0.957447, 0.961140, 0.952381, 0.983607, 0.946429, 0.985915, 0.946429, 0.974359, 0.946429, 0.972414, 0.946429, 0.970297, 0.951613, 0.957746, 0.944444, 0.950758, 0.953571, 0.972973, 0.940000, 0.976654, 0.953846, 0.977860, 0.968750, 0.971751, 0.942857, 0.957447, 0.957386, 0.959420, 0.959184, 
6.0, 0.958889, 0.903226, 0.972222, 0.947368, 0.969697, 0.932584, 0.980769, 0.944724, 0.971631, 0.952586, 0.964912, 0.953069, 0.958042, 0.953020, 0.982759, 0.952381, 0.974093, 0.958188, 0.957447, 0.958549, 0.952381, 0.983607, 0.946429, 0.985915, 0.946429, 0.974359, 0.946429, 0.972414, 0.946429, 0.970297, 0.951613, 0.957746, 0.944444, 0.950758, 0.953571, 0.972973, 0.940000, 0.976654, 0.953846, 0.977860, 0.968750, 0.971751, 0.942857, 0.957447, 0.954545, 0.959420, 0.959184, 
7.0, 0.953333, 0.903226, 0.972222, 0.929825, 0.969697, 0.898876, 0.980769, 0.924623, 0.971631, 0.935345, 0.964912, 0.938628, 0.958042, 0.936242, 0.982759, 0.934066, 0.974093, 0.944251, 0.957447, 0.945596, 0.952381, 0.983607, 0.928571, 0.985915, 0.928571, 0.974359, 0.928571, 0.972414, 0.928571, 0.970297, 0.935484, 0.957746, 0.925926, 0.950758, 0.939286, 0.972973, 0.920000, 0.976654, 0.938462, 0.977860, 0.937500, 0.971751, 0.928571, 0.957447, 0.940341, 0.947826, 0.959184, 
8.0, 0.944444, 0.903226, 0.972222, 0.912281, 0.969697, 0.887640, 0.980769, 0.914573, 0.971631, 0.922414, 0.964912, 0.927798, 0.958042, 0.926174, 0.982759, 0.923077, 0.968912, 0.933798, 0.957447, 0.932642, 0.948413, 0.983607, 0.910714, 0.985915, 0.910714, 0.974359, 0.910714, 0.965517, 0.910714, 0.965347, 0.919355, 0.953052, 0.907407, 0.946970, 0.928571, 0.967568, 0.900000, 0.972763, 0.923077, 0.970480, 0.937500, 0.963277, 0.914286, 0.950355, 0.931818, 0.936232, 0.959184, 
9.0, 0.933333, 0.870968, 0.972222, 0.894737, 0.969697, 0.876404, 0.961538, 0.904523, 0.957447, 0.913793, 0.947368, 0.920578, 0.944056, 0.919463, 0.965517, 0.915751, 0.953368, 0.926829, 0.943262, 0.927461, 0.932540, 0.967213, 0.892857, 0.985915, 0.892857, 0.957265, 0.892857, 0.944828, 0.892857, 0.950495, 0.903226, 0.934272, 0.888889, 0.931818, 0.921429, 0.951351, 0.880000, 0.961089, 0.907692, 0.952030, 0.906250, 0.946328, 0.900000, 0.933806, 0.926136, 0.933333, 0.945578, 
10.0, 0.927778, 0.870968, 0.972222, 0.894737, 0.969697, 0.865169, 0.961538, 0.894472, 0.957447, 0.905172, 0.947368, 0.909747, 0.944056, 0.909396, 0.965517, 0.908425, 0.953368, 0.916376, 0.943262, 0.919689, 0.928571, 0.967213, 0.892857, 0.985915, 0.892857, 0.957265, 0.892857, 0.944828, 0.892857, 0.950495, 0.903226, 0.929577, 0.888889, 0.928030, 0.910714, 0.951351, 0.880000, 0.961089, 0.907692, 0.952030, 0.906250, 0.943503, 0.900000, 0.929078, 0.917614, 0.924638, 0.945578, 
11.0, 0.925556, 0.870968, 0.944444, 0.894737, 0.969697, 0.853933, 0.961538, 0.889447, 0.957447, 0.900862, 0.947368, 0.906137, 0.944056, 0.909396, 0.965517, 0.908425, 0.948187, 0.912892, 0.943262, 0.917098, 0.924603, 0.967213, 0.892857, 0.985915, 0.892857, 0.957265, 0.892857, 0.944828, 0.892857, 0.945545, 0.903226, 0.924883, 0.888889, 0.924242, 0.907143, 0.951351, 0.880000, 0.957198, 0.907692, 0.952030, 0.906250, 0.940678, 0.900000, 0.926714, 0.914773, 0.921739, 0.945578, 
