id,left,right
0,5,22
1,259,20
2,42,20
3,259,20
4,128,22
5,228,22
6,97,22
7,97,22
8,51,21
9,210,20
10,281,20
11,85,22
12,102,22
13,259,20
14,2,22
15,100,20
16,210,20
17,100,20
18,111,20
19,47,22
20,219,20
21,100,20
22,100,20
23,219,20
24,85,22
25,97,22
26,219,20
27,5,22
28,219,20
29,28,20
30,128,22
31,219,20
32,361,23
33,102,22
34,111,20
35,210,20
36,219,20
37,228,22
38,100,20
39,219,20
40,97,20
41,85,22
42,323,20
43,259,20
44,100,20
45,18,22
46,228,22
47,47,22
48,85,22
49,31,22
50,259,20
51,28,20
52,97,22
53,228,22
54,122,20
55,23,20
56,333,25
57,47,22
58,100,20
59,7,20
60,228,22
61,165,23
62,35,21
63,102,22
64,228,22
65,20,20
66,100,20
67,0,20
68,333,25
69,51,23
70,46,21
71,218,22
72,102,22
73,259,20
74,97,20
75,47,22
76,228,22
77,100,22
78,85,22
79,10,20
80,100,22
81,9,22
82,128,22
83,228,22
84,228,22
85,102,22
86,128,22
