id,distance,n_actions
0,0.005001,1
1,0.009404,1
2,0.031471,2
3,0.060606,1
4,0.090909,1
5,0.018611,1
6,0.090909,1
7,0.060606,1
8,0.090909,1
9,0.028213,1
10,0.060606,1
11,0.034483,1
12,0.060606,1
13,0.060606,1
14,0.090909,1
15,0.034405,2
16,0.060606,1
17,0.090909,1
18,0.010972,1
19,0.030303,1
20,0.060606,1
21,0.004702,1
22,0.060606,1
23,0.060606,1
24,0.030258,2
25,0.090909,1
26,0.037618,1
27,0.059949,1
28,0.090909,1
29,0.034408,2
30,0.060606,1
31,0.090909,1
32,0.026090,1
33,0.090909,1
34,0.007837,1
35,0.004702,1
36,0.060606,1
37,0.038961,1
38,0.006270,1
39,0.060606,1
40,0.090909,1
41,0.021278,1
42,0.004702,1
43,0.090909,1
44,0.090909,1
45,0.060606,1
46,0.060606,1
47,0.030303,1
48,0.060606,1
49,0.090909,1
50,0.090909,1
51,0.003135,1
52,0.060606,1
53,0.039541,1
54,0.090909,1
55,0.026264,1
56,0.060606,1
57,0.060606,1
58,0.060606,1
59,0.090909,1
60,0.090909,1
61,0.039309,1
62,0.001567,1
63,0.021944,1
64,0.030303,1
65,0.060606,1
66,0.043135,1
67,0.032468,1
68,0.054859,1
69,0.006270,1
70,0.060606,1
71,0.031570,2
72,0.017241,1
73,0.060606,1
74,0.060606,1
75,0.030303,1
76,0.060606,1
77,0.121212,2
78,0.060606,1
79,0.090909,1
80,0.007061,1
81,0.020376,1
82,0.060606,1
83,0.090909,1
84,0.090909,1
85,0.029569,1
86,0.060606,1
87,0.060606,1
88,0.090909,1
89,0.090909,1
90,0.060606,1
91,0.090909,1
92,0.060606,1
93,0.031160,2
94,0.060606,1
95,0.090909,1
96,0.041322,2
97,0.060606,1
98,0.090909,1
99,0.018809,1
100,0.060606,1
101,0.090909,1
102,0.001567,1
103,0.004702,1
104,0.090909,1
105,0.038265,1
106,0.060606,1
107,0.060606,1
108,0.003135,1
109,0.060606,1
110,0.030620,2
111,0.060606,1
112,0.090909,1
113,0.060606,1
114,0.090909,1
