time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, 
0.003, 0.965340, 0.935185, 0.979879, 0.913043, 0.979879, 0.923077, 0.980000, 0.935961, 0.980132, 0.937500, 0.980132, 0.939068, 0.980132, 0.948718, 0.980132, 0.979167, 0.988235, 0.981982, 0.935185, 0.978261, 0.935185, 1.000000, 0.918919, 
0.1, 0.964056, 0.935185, 0.979879, 0.913043, 0.979879, 0.923077, 0.980000, 0.931034, 0.980132, 0.932292, 0.980132, 0.935484, 0.980132, 0.948718, 0.980132, 0.979167, 0.988235, 0.981982, 0.935185, 0.978261, 0.935185, 1.000000, 0.918919, 
0.2, 0.961489, 0.935185, 0.977867, 0.913043, 0.977867, 0.923077, 0.978000, 0.931034, 0.977925, 0.932292, 0.977925, 0.931900, 0.977925, 0.944444, 0.977925, 0.979167, 0.988235, 0.978979, 0.935185, 0.975543, 0.935185, 1.000000, 0.918919, 
0.3, 0.957638, 0.935185, 0.973843, 0.905797, 0.973843, 0.917160, 0.974000, 0.926108, 0.973510, 0.927083, 0.973510, 0.928315, 0.973510, 0.940171, 0.973510, 0.979167, 0.976471, 0.975976, 0.935185, 0.972826, 0.935185, 1.000000, 0.918919, 
0.4, 0.949936, 0.888889, 0.971831, 0.869565, 0.971831, 0.887574, 0.972000, 0.901478, 0.971302, 0.901042, 0.971302, 0.910394, 0.971302, 0.918803, 0.971302, 0.979167, 0.976471, 0.972973, 0.888889, 0.970109, 0.888889, 1.000000, 0.864865, 
0.5, 0.938383, 0.870370, 0.965795, 0.847826, 0.965795, 0.863905, 0.964000, 0.881773, 0.964680, 0.875000, 0.964680, 0.892473, 0.964680, 0.893162, 0.964680, 0.979167, 0.976471, 0.963964, 0.870370, 0.961957, 0.870370, 1.000000, 0.864865, 
0.6, 0.929397, 0.851852, 0.959759, 0.833333, 0.959759, 0.852071, 0.958000, 0.871921, 0.958057, 0.864583, 0.958057, 0.878136, 0.958057, 0.876068, 0.958057, 0.979167, 0.976471, 0.954955, 0.851852, 0.953804, 0.851852, 1.000000, 0.837838, 
0.7, 0.915276, 0.814815, 0.951710, 0.804348, 0.951710, 0.828402, 0.950000, 0.847291, 0.951435, 0.838542, 0.951435, 0.853047, 0.951435, 0.846154, 0.951435, 0.958333, 0.976471, 0.948949, 0.814815, 0.948370, 0.814815, 0.982759, 0.824324, 
0.8, 0.902439, 0.814815, 0.937626, 0.804348, 0.937626, 0.816568, 0.936000, 0.832512, 0.938190, 0.828125, 0.938190, 0.842294, 0.938190, 0.833333, 0.938190, 0.895833, 0.929412, 0.942943, 0.814815, 0.942935, 0.814815, 0.931034, 0.824324, 
0.9, 0.896021, 0.814815, 0.931590, 0.797101, 0.931590, 0.810651, 0.930000, 0.827586, 0.931567, 0.822917, 0.931567, 0.835125, 0.931567, 0.829060, 0.931567, 0.895833, 0.929412, 0.936937, 0.814815, 0.934783, 0.814815, 0.931034, 0.824324, 
1.0, 0.881900, 0.768519, 0.921529, 0.760870, 0.921529, 0.781065, 0.920000, 0.802956, 0.920530, 0.791667, 0.920530, 0.813620, 0.920530, 0.807692, 0.920530, 0.895833, 0.917647, 0.927928, 0.768519, 0.923913, 0.768519, 0.931034, 0.756757, 
1.1, 0.866496, 0.750000, 0.907445, 0.739130, 0.907445, 0.763314, 0.906000, 0.788177, 0.905077, 0.776042, 0.905077, 0.795699, 0.905077, 0.786325, 0.905077, 0.895833, 0.917647, 0.909910, 0.750000, 0.904891, 0.750000, 0.931034, 0.756757, 
