rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 5, 5, 1, 5.0243, 38.7358, 0.0000, 0.0000, 426.0000, 2563.0000, -2137.0000
r2, 5, 5, 1, 11.0211, 40.0324, 0.0000, 0.0000, 544.0000, 2563.0000, -2019.0000
r3, 4, 4, 1, 16.2075, 40.6807, 0.0000, 0.0000, 595.0000, 2563.0000, -1968.0000
r4, 3, 3, 0, 22.0421, 40.6807, 0.0000, 0.0000, 624.0000, 2563.0000, -1939.0000
r5, 3, 3, 0, 27.8768, 40.6807, 0.0000, 0.0000, 745.0000, 2563.0000, -1818.0000
r6, 2, 2, 0, 32.9011, 43.9222, 0.0000, 0.0000, 819.0000, 2563.0000, -1744.0000
r7, 2, 2, 0, 31.6045, 44.4084, 0.0000, 0.0000, 819.0000, 2556.0000, -1737.0000
r8, 3, 3, 1, 32.2528, 43.9222, 0.0000, 0.0000, 855.0000, 2563.0000, -1708.0000
r9, 4, 4, 1, 21.2318, 27.3906, 0.0000, 0.0000, 727.0000, 2556.0000, -1829.0000
r10, 4, 4, 0, 22.0421, 24.7974, 0.0000, 0.0000, 842.0000, 2556.0000, -1714.0000
r11, 2, 2, 0, 33.7115, 29.1734, 0.0000, 0.0000, 1093.0000, 2556.0000, -1463.0000
r12, 3, 3, 0, 38.7358, 26.0940, 0.0000, 0.0000, 1150.0000, 2556.0000, -1406.0000
r13, 4, 4, 1, 30.7942, 6.6451, 0.0000, 0.0000, 2551.0000, 490.0000, 2061.0000
r14, 3, 3, 1, 40.5186, 12.1556, 0.0000, 0.0000, 2556.0000, 624.0000, 1932.0000
