time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, 
1.0, 0.986143, 0.852941, 1.000000, 0.960396, 1.000000, 0.972414, 1.000000, 1.000000, 0.936170, 1.000000, 0.962963, 0.971591, 1.000000, 
2.0, 0.956120, 0.676471, 0.988889, 0.910891, 0.994253, 0.924138, 0.993671, 0.993197, 0.914894, 0.980769, 0.925926, 0.937500, 0.984694, 
3.0, 0.937644, 0.529412, 0.988889, 0.871287, 0.994253, 0.889655, 0.993671, 0.993197, 0.872340, 0.975962, 0.888889, 0.909091, 0.979592, 
4.0, 0.923788, 0.470588, 0.985185, 0.851485, 0.994253, 0.868966, 0.993671, 0.993197, 0.829787, 0.971154, 0.851852, 0.880682, 0.974490, 
5.0, 0.919169, 0.441176, 0.985185, 0.831683, 0.994253, 0.855172, 0.993671, 0.993197, 0.787234, 0.971154, 0.833333, 0.869318, 0.974490, 
6.0, 0.914550, 0.441176, 0.985185, 0.821782, 0.994253, 0.841379, 0.993671, 0.993197, 0.765957, 0.971154, 0.824074, 0.863636, 0.974490, 
7.0, 0.909931, 0.382353, 0.985185, 0.801980, 0.994253, 0.827586, 0.993671, 0.993197, 0.744681, 0.971154, 0.805556, 0.852273, 0.974490, 
8.0, 0.896074, 0.323529, 0.974074, 0.772277, 0.994253, 0.813793, 0.987342, 0.993197, 0.723404, 0.961538, 0.796296, 0.835227, 0.969388, 
9.0, 0.891455, 0.323529, 0.970370, 0.762376, 0.994253, 0.800000, 0.987342, 0.993197, 0.702128, 0.956731, 0.787037, 0.829545, 0.964286, 
10.0, 0.877598, 0.294118, 0.955556, 0.752475, 0.982759, 0.786207, 0.974684, 0.979592, 0.702128, 0.942308, 0.787037, 0.823864, 0.948980, 
11.0, 0.872967, 0.294118, 0.955556, 0.742574, 0.982759, 0.779310, 0.974684, 0.979592, 0.680851, 0.942308, 0.768519, 0.812421, 0.948980, 
12.0, 0.868336, 0.294118, 0.955556, 0.722772, 0.982759, 0.765517, 0.974684, 0.979592, 0.638298, 0.942308, 0.759259, 0.806700, 0.948980, 
13.0, 0.859074, 0.294118, 0.944401, 0.702970, 0.982759, 0.751724, 0.974684, 0.979592, 0.638298, 0.942308, 0.750000, 0.789536, 0.948980, 
14.0, 0.852127, 0.294118, 0.940683, 0.693069, 0.977011, 0.744828, 0.974684, 0.979592, 0.617021, 0.937500, 0.731481, 0.778093, 0.948980, 
15.0, 0.842865, 0.235294, 0.940683, 0.683168, 0.977011, 0.731034, 0.974684, 0.979592, 0.595745, 0.937500, 0.694444, 0.755208, 0.948980, 
16.0, 0.840549, 0.235294, 0.936965, 0.683168, 0.977011, 0.724138, 0.974684, 0.979592, 0.595745, 0.932692, 0.694444, 0.755208, 0.943878, 
17.0, 0.838234, 0.235294, 0.936965, 0.683168, 0.977011, 0.724138, 0.974684, 0.979592, 0.595745, 0.932692, 0.685185, 0.749487, 0.943878, 
18.0, 0.835918, 0.235294, 0.933247, 0.683168, 0.977011, 0.724138, 0.974684, 0.979592, 0.595745, 0.932692, 0.685185, 0.749487, 0.943878, 
19.0, 0.833602, 0.205882, 0.933247, 0.673267, 0.977011, 0.717241, 0.974684, 0.979592, 0.574468, 0.932692, 0.675926, 0.743766, 0.943878, 
