time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, r12_l, r12_r, r13_l, r13_r, r14_l, r14_r, r15_l, r15_r, r16_l, r16_r, r17_l, r17_r, r18_l, r18_r, r19_l, r19_r, 
1.0, 0.994444, 1.000000, 0.994792, 1.000000, 0.995633, 1.000000, 1.000000, 1.000000, 1.000000, 0.976190, 1.000000, 0.981481, 1.000000, 1.000000, 1.000000, 0.993827, 1.000000, 0.992188, 1.000000, 0.993007, 0.993827, 0.989474, 0.993506, 0.993464, 1.000000, 0.991304, 1.000000, 0.995671, 1.000000, 0.995283, 1.000000, 0.992105, 1.000000, 0.996552, 1.000000, 0.994186, 1.000000, 0.993151, 1.000000, 
2.0, 0.983333, 0.966667, 0.989583, 0.933333, 0.978166, 0.950000, 1.000000, 0.952381, 1.000000, 0.952381, 1.000000, 0.981481, 1.000000, 0.989583, 1.000000, 0.975309, 1.000000, 0.980469, 1.000000, 0.982517, 0.981481, 0.978947, 0.993506, 0.983660, 0.970588, 0.956522, 1.000000, 0.995671, 0.966667, 0.990566, 0.966667, 0.981579, 0.972222, 0.996552, 0.967742, 0.982558, 0.970588, 0.981735, 0.971429, 
3.0, 0.980000, 0.933333, 0.989583, 0.916667, 0.973799, 0.937500, 1.000000, 0.952381, 1.000000, 0.952381, 1.000000, 0.981481, 1.000000, 0.979167, 1.000000, 0.969136, 1.000000, 0.972656, 1.000000, 0.975524, 0.975309, 0.973684, 0.993506, 0.977124, 0.941176, 0.947826, 1.000000, 0.995671, 0.933333, 0.990566, 0.933333, 0.976316, 0.944444, 0.996552, 0.935484, 0.976744, 0.941176, 0.977169, 0.942857, 
4.0, 0.973333, 0.933333, 0.984375, 0.900000, 0.969432, 0.925000, 1.000000, 0.952381, 1.000000, 0.928571, 1.000000, 0.962963, 1.000000, 0.968750, 1.000000, 0.962963, 1.000000, 0.964844, 0.990099, 0.968531, 0.969136, 0.968421, 0.993506, 0.970588, 0.911765, 0.939130, 1.000000, 0.987013, 0.933333, 0.985849, 0.933333, 0.971053, 0.916667, 0.989655, 0.935484, 0.970930, 0.911765, 0.972603, 0.914286, 
5.0, 0.963333, 0.866667, 0.968750, 0.850000, 0.951965, 0.887500, 1.000000, 0.952381, 0.982456, 0.928571, 0.981132, 0.962963, 0.981132, 0.958333, 0.986486, 0.962963, 0.986842, 0.957031, 0.980198, 0.961538, 0.956790, 0.968421, 0.980519, 0.964052, 0.852941, 0.913043, 1.000000, 0.974026, 0.866667, 0.971698, 0.866667, 0.965789, 0.861111, 0.975862, 0.870968, 0.965116, 0.852941, 0.968037, 0.857143, 
6.0, 0.961111, 0.866667, 0.968750, 0.850000, 0.951965, 0.887500, 0.983333, 0.952381, 0.982456, 0.928571, 0.981132, 0.962963, 0.981132, 0.958333, 0.986486, 0.962963, 0.986842, 0.957031, 0.980198, 0.961538, 0.956790, 0.968421, 0.980519, 0.964052, 0.852941, 0.913043, 0.985915, 0.974026, 0.866667, 0.971698, 0.866667, 0.963158, 0.861111, 0.975862, 0.870968, 0.965116, 0.852941, 0.963470, 0.857143, 
7.0, 0.954444, 0.866667, 0.968750, 0.850000, 0.951965, 0.887500, 0.966667, 0.952381, 0.982456, 0.904762, 0.981132, 0.925926, 0.981132, 0.916667, 0.986486, 0.938272, 0.986842, 0.937500, 0.980198, 0.944056, 0.956790, 0.947368, 0.980519, 0.947712, 0.852941, 0.913043, 0.971831, 0.974026, 0.866667, 0.971698, 0.866667, 0.947368, 0.861111, 0.975862, 0.870968, 0.950581, 0.852941, 0.949772, 0.857143, 
8.0, 0.945556, 0.866667, 0.963542, 0.850000, 0.947598, 0.875000, 0.966667, 0.928571, 0.982456, 0.880952, 0.981132, 0.907407, 0.981132, 0.906250, 0.986486, 0.925926, 0.986842, 0.925781, 0.980198, 0.933566, 0.956790, 0.936842, 0.974026, 0.937908, 0.852941, 0.895652, 0.971831, 0.974026, 0.866667, 0.966981, 0.866667, 0.934211, 0.861111, 0.972414, 0.870968, 0.938953, 0.852941, 0.938356, 0.857143, 
9.0, 0.936667, 0.833333, 0.953125, 0.833333, 0.938865, 0.850000, 0.966667, 0.904762, 0.982456, 0.857143, 0.981132, 0.870370, 0.981132, 0.895833, 0.986486, 0.913580, 0.986842, 0.917969, 0.980198, 0.926573, 0.956790, 0.926316, 0.967532, 0.931373, 0.823529, 0.878261, 0.971831, 0.961039, 0.833333, 0.962264, 0.833333, 0.928947, 0.833333, 0.962069, 0.838710, 0.933140, 0.823529, 0.933790, 0.828571, 
10.0, 0.930000, 0.833333, 0.947917, 0.816667, 0.934498, 0.825000, 0.966667, 0.880952, 0.982456, 0.857143, 0.981132, 0.851852, 0.981132, 0.875000, 0.986486, 0.901235, 0.986842, 0.902344, 0.980198, 0.912587, 0.956790, 0.915789, 0.967532, 0.918301, 0.823529, 0.860870, 0.971831, 0.961039, 0.833333, 0.962264, 0.833333, 0.918421, 0.833333, 0.962069, 0.838710, 0.921512, 0.823529, 0.924658, 0.828571, 
11.0, 0.926667, 0.833333, 0.937500, 0.816667, 0.925764, 0.825000, 0.966667, 0.880952, 0.982456, 0.857143, 0.981132, 0.851852, 0.981132, 0.875000, 0.986486, 0.901235, 0.986842, 0.902344, 0.980198, 0.909091, 0.956790, 0.915789, 0.954545, 0.915033, 0.823529, 0.860870, 0.971831, 0.956710, 0.833333, 0.952830, 0.833333, 0.918421, 0.833333, 0.955172, 0.838710, 0.918605, 0.823529, 0.922374, 0.828571, 
12.0, 0.913333, 0.700000, 0.921875, 0.733333, 0.908297, 0.775000, 0.966667, 0.833333, 0.982456, 0.809524, 0.981132, 0.833333, 0.981132, 0.875000, 0.986486, 0.870370, 0.986842, 0.882813, 0.980198, 0.891608, 0.932099, 0.889474, 0.948052, 0.898693, 0.705882, 0.808696, 0.971831, 0.952381, 0.700000, 0.948113, 0.700000, 0.905263, 0.722222, 0.951724, 0.709677, 0.904070, 0.705882, 0.910959, 0.714286, 
13.0, 0.903333, 0.666667, 0.906250, 0.716667, 0.895197, 0.750000, 0.950000, 0.833333, 0.982456, 0.809524, 0.981132, 0.833333, 0.981132, 0.864583, 0.972973, 0.864198, 0.973684, 0.875000, 0.970297, 0.884615, 0.913580, 0.884211, 0.941558, 0.892157, 0.676471, 0.782609, 0.957746, 0.943723, 0.666667, 0.943396, 0.666667, 0.900000, 0.694444, 0.944828, 0.677419, 0.898256, 0.676471, 0.904110, 0.685714, 
14.0, 0.898889, 0.666667, 0.895833, 0.716667, 0.886463, 0.750000, 0.950000, 0.833333, 0.982456, 0.809524, 0.981132, 0.833333, 0.981132, 0.864583, 0.972973, 0.864198, 0.973684, 0.875000, 0.970297, 0.884615, 0.913580, 0.884211, 0.928571, 0.892157, 0.676471, 0.782609, 0.957746, 0.926407, 0.666667, 0.933962, 0.666667, 0.900000, 0.694444, 0.931034, 0.677419, 0.898256, 0.676471, 0.904110, 0.685714, 
15.0, 0.896667, 0.666667, 0.890625, 0.716667, 0.882096, 0.725000, 0.950000, 0.833333, 0.982456, 0.809524, 0.981132, 0.833333, 0.981132, 0.864583, 0.972973, 0.864198, 0.973684, 0.875000, 0.960396, 0.884615, 0.907407, 0.884211, 0.928571, 0.892157, 0.676471, 0.765217, 0.957746, 0.926407, 0.666667, 0.929245, 0.666667, 0.900000, 0.694444, 0.931034, 0.677419, 0.898256, 0.676471, 0.904110, 0.685714, 
16.0, 0.884444, 0.666667, 0.885417, 0.716667, 0.873362, 0.725000, 0.950000, 0.833333, 0.982456, 0.809524, 0.981132, 0.833333, 0.981132, 0.854167, 0.972973, 0.858025, 0.973684, 0.867188, 0.960396, 0.877622, 0.901235, 0.884211, 0.922078, 0.885621, 0.676471, 0.765217, 0.957746, 0.909091, 0.666667, 0.915094, 0.666667, 0.894737, 0.694444, 0.910345, 0.677419, 0.889535, 0.676471, 0.897260, 0.685714, 
