id,distance,n_actions
0,0.017647,1
1,0.021569,1
2,0.015033,1
3,0.036618,2
4,0.036621,2
5,0.012319,2
6,0.029836,1
7,0.012614,2
8,0.009804,1
9,0.034395,2
10,0.014525,2
11,0.017614,2
12,0.038350,2
13,0.038562,2
14,0.028987,1
15,0.033171,2
16,0.035702,2
17,0.040735,2
18,0.022314,2
19,0.038121,2
20,0.008709,2
21,0.003039,2
22,0.025983,2
23,0.039412,2
24,0.043137,2
25,0.042925,2
26,0.044640,2
27,0.029836,1
28,0.037420,2
29,0.037975,2
30,0.041389,2
31,0.026164,2
32,0.020389,2
33,0.002352,2
34,0.031849,2
35,0.016993,1
36,0.037238,2
37,0.030049,1
38,0.027925,1
39,0.012123,2
40,0.040949,2
41,0.016371,2
