((BECK, (BECK, (15.5, 35.5>) -> (BECK, (-inf, 12.079>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (-inf, 0.1277775>) -> (FRAC, (0.7944445, inf))))
((BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (AGE, (AGE, (22.5, 42.0>) -> (AGE, (22.5, 42.0>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((FRAC, (FRAC, (0.1277775, 0.3416665>) -> (FRAC, (0.7944445, inf))))
((BECK, (BECK, (36.375, 45.9>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (-inf, 12.079>) -> (BECK, (-inf, 12.079>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (0.3416665, 0.566667>) -> (FRAC, (0.7944445, inf))))
((BECK, (BECK, (36.375, 45.9>) -> (BECK, (15.5, 35.5>)) AND (AGE, (AGE, (22.5, 42.0>) -> (AGE, (22.5, 42.0>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (AGE, (AGE, (22.5, 42.0>) -> (AGE, (22.5, 42.0>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (-inf, 12.079>) -> (BECK, (15.5, 35.5>)) AND (AGE, (AGE, (22.5, 42.0>) -> (AGE, (22.5, 42.0>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (-inf, 12.079>) -> (BECK, (-inf, 12.079>)) AND (RACE, (RACE, (0.5, inf)) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (0.3416665, 0.566667>) -> (FRAC, (0.7944445, inf))))
((BECK, (BECK, (-inf, 12.079>) -> (BECK, (15.5, 35.5>)) AND (AGE, (AGE, (22.5, 42.0>) -> (AGE, (22.5, 42.0>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (-inf, 12.079>) -> (BECK, (15.5, 35.5>)) AND (AGE, (AGE, (22.5, 42.0>) -> (AGE, (22.5, 42.0>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((RACE, (RACE, (0.5, inf)) -> (RACE, (-inf, 0.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (AGE, (AGE, (22.5, 42.0>) -> (AGE, (22.5, 42.0>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (-inf, 12.079>) -> (BECK, (-inf, 12.079>)) AND (RACE, (RACE, (0.5, inf)) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (0.6166665, 0.7277775>) -> (FRAC, (0.7944445, inf))))
((BECK, (BECK, (12.079, 15.5>) -> (BECK, (-inf, 12.079>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (0.1277775, 0.3416665>) -> (FRAC, (0.7944445, inf))))
((BECK, (BECK, (-inf, 12.079>) -> (BECK, (15.5, 35.5>)) AND (AGE, (AGE, (22.5, 42.0>) -> (AGE, (22.5, 42.0>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (-inf, 12.079>) -> (BECK, (15.5, 35.5>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (AGE, (AGE, (22.5, 42.0>) -> (AGE, (22.5, 42.0>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (-inf, 12.079>) -> (BECK, (15.5, 35.5>)) AND (AGE, (AGE, (22.5, 42.0>) -> (AGE, (22.5, 42.0>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (-inf, 12.079>) -> (BECK, (-inf, 12.079>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (0.3416665, 0.566667>) -> (FRAC, (0.7944445, inf))))
((BECK, (BECK, (-inf, 12.079>) -> (BECK, (15.5, 35.5>)) AND (AGE, (AGE, (22.5, 42.0>) -> (AGE, (22.5, 42.0>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (-inf, 0.1277775>) -> (FRAC, (0.7944445, inf))))
((BECK, (BECK, (15.5, 35.5>) -> (BECK, (-inf, 12.079>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (0.7944445, inf))))
((FRAC, (FRAC, (-inf, 0.1277775>) -> (FRAC, (0.7944445, inf))))
((BECK, (BECK, (-inf, 12.079>) -> (BECK, (15.5, 35.5>)) AND (AGE, (AGE, (22.5, 42.0>) -> (AGE, (22.5, 42.0>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (15.5, 35.5>) -> (BECK, (-inf, 12.079>)) AND (RACE, (RACE, (0.5, inf)) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (0.3416665, 0.566667>) -> (FRAC, (0.7944445, inf))))
((BECK, (BECK, (-inf, 12.079>) -> (BECK, (-inf, 12.079>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (0.566667, 0.6166665>) -> (FRAC, (0.7944445, inf))))
((BECK, (BECK, (15.5, 35.5>) -> (BECK, (-inf, 12.079>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (0.6166665, 0.7277775>) -> (FRAC, (0.7944445, inf))))
((BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (AGE, (AGE, (22.5, 42.0>) -> (AGE, (22.5, 42.0>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (-inf, 12.079>) -> (BECK, (-inf, 12.079>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (0.7944445, inf))))
((BECK, (BECK, (-inf, 12.079>) -> (BECK, (-inf, 12.079>)) AND (RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (0.7944445, inf))))
((BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (AGE, (AGE, (22.5, 42.0>) -> (AGE, (22.5, 42.0>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (AGE, (AGE, (22.5, 42.0>) -> (AGE, (22.5, 42.0>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (AGE, (AGE, (22.5, 42.0>) -> (AGE, (22.5, 42.0>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
((BECK, (BECK, (-inf, 12.079>) -> (BECK, (-inf, 12.079>)) AND (RACE, (RACE, (0.5, inf)) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (0.7944445, inf))))
((BECK, (BECK, (15.5, 35.5>) -> (BECK, (15.5, 35.5>)) AND (AGE, (AGE, (22.5, 42.0>) -> (AGE, (22.5, 42.0>)) AND (FRAC, (FRAC, (0.7944445, inf)) -> (FRAC, (-inf, 0.1277775>)))
