((hgb, (hgb, (11.350000000000001, 13.649999999999999>) -> (hgb, (11.350000000000001, 13.649999999999999>)) AND (age, (age, (74.5, inf)) -> (age, (35.0, 55.5>)))
((hgb, (hgb, (11.350000000000001, 13.649999999999999>) -> (hgb, (11.350000000000001, 13.649999999999999>)) AND (age, (age, (65.5, 74.5>) -> (age, (35.0, 55.5>)))
((hgb, (hgb, (9.95, 11.350000000000001>) -> (hgb, (11.350000000000001, 13.649999999999999>)) AND (alb, (alb, (3.45, inf)) -> (alb, (-inf, 3.45>)) AND (age, (age, (65.5, 74.5>) -> (age, (74.5, inf))))
((hgb, (hgb, (11.350000000000001, 13.649999999999999>) -> (hgb, (11.350000000000001, 13.649999999999999>)) AND (age, (age, (74.5, inf)) -> (age, (35.0, 55.5>)))
((hgb, (hgb, (11.350000000000001, 13.649999999999999>) -> (hgb, (11.350000000000001, 13.649999999999999>)) AND (alb, (alb, (-inf, 3.45>) -> (alb, (-inf, 3.45>)) AND (age, (age, (65.5, 74.5>) -> (age, (74.5, inf))))
((dxyr, (dxyr, (67.5, inf)) -> (dxyr, (67.5, inf))) AND (alb, (alb, (-inf, 3.45>) -> (alb, (-inf, 3.45>)) AND (age, (age, (65.5, 74.5>) -> (age, (35.0, 55.5>)))
((hgb, (hgb, (9.95, 11.350000000000001>) -> (hgb, (11.350000000000001, 13.649999999999999>)) AND (age, (age, (74.5, inf)) -> (age, (35.0, 55.5>)))
((hgb, (hgb, (14.2, inf)) -> (hgb, (11.350000000000001, 13.649999999999999>)) AND (alb, (alb, (-inf, 3.45>) -> (alb, (-inf, 3.45>)) AND (age, (age, (65.5, 74.5>) -> (age, (74.5, inf))))
((dxyr, (dxyr, (-inf, 59.5>) -> (dxyr, (67.5, inf))) AND (alb, (alb, (-inf, 3.45>) -> (alb, (-inf, 3.45>)) AND (age, (age, (55.5, 61.5>) -> (age, (74.5, inf))))
((hgb, (hgb, (14.2, inf)) -> (hgb, (11.350000000000001, 13.649999999999999>)) AND (alb, (alb, (-inf, 3.45>) -> (alb, (-inf, 3.45>)) AND (age, (age, (61.5, 63.5>) -> (age, (74.5, inf))))
((dxyr, (dxyr, (-inf, 59.5>) -> (dxyr, (67.5, inf))) AND (alb, (alb, (-inf, 3.45>) -> (alb, (-inf, 3.45>)) AND (age, (age, (35.0, 55.5>) -> (age, (74.5, inf))))
((dxyr, (dxyr, (67.5, inf)) -> (dxyr, (67.5, inf))) AND (alb, (alb, (-inf, 3.45>) -> (alb, (-inf, 3.45>)) AND (age, (age, (35.0, 55.5>) -> (age, (74.5, inf))))
((hgb, (hgb, (11.350000000000001, 13.649999999999999>) -> (hgb, (11.350000000000001, 13.649999999999999>)) AND (alb, (alb, (3.45, inf)) -> (alb, (-inf, 3.45>)) AND (age, (age, (-inf, 35.0>) -> (age, (74.5, inf))))
((dxyr, (dxyr, (67.5, inf)) -> (dxyr, (67.5, inf))) AND (alb, (alb, (-inf, 3.45>) -> (alb, (-inf, 3.45>)) AND (age, (age, (65.5, 74.5>) -> (age, (35.0, 55.5>)))
((dxyr, (dxyr, (62.5, 67.5>) -> (dxyr, (67.5, inf))) AND (alb, (alb, (-inf, 3.45>) -> (alb, (-inf, 3.45>)) AND (age, (age, (55.5, 61.5>) -> (age, (74.5, inf))))
((hgb, (hgb, (9.95, 11.350000000000001>) -> (hgb, (11.350000000000001, 13.649999999999999>)) AND (alb, (alb, (-inf, 3.45>) -> (alb, (-inf, 3.45>)) AND (age, (age, (63.5, 65.5>) -> (age, (74.5, inf))))
((dxyr, (dxyr, (62.5, 67.5>) -> (dxyr, (67.5, inf))) AND (alb, (alb, (-inf, 3.45>) -> (alb, (-inf, 3.45>)) AND (age, (age, (35.0, 55.5>) -> (age, (74.5, inf))))
((dxyr, (dxyr, (67.5, inf)) -> (dxyr, (67.5, inf))) AND (alb, (alb, (-inf, 3.45>) -> (alb, (-inf, 3.45>)) AND (age, (age, (35.0, 55.5>) -> (age, (74.5, inf))))
((hgb, (hgb, (-inf, 9.95>) -> (hgb, (11.350000000000001, 13.649999999999999>)) AND (alb, (alb, (-inf, 3.45>) -> (alb, (-inf, 3.45>)) AND (age, (age, (65.5, 74.5>) -> (age, (74.5, inf))))
((dxyr, (dxyr, (67.5, inf)) -> (dxyr, (67.5, inf))) AND (alb, (alb, (-inf, 3.45>) -> (alb, (-inf, 3.45>)) AND (age, (age, (35.0, 55.5>) -> (age, (74.5, inf))))
((hgb, (hgb, (13.649999999999999, 14.149999999999999>) -> (hgb, (11.350000000000001, 13.649999999999999>)) AND (age, (age, (65.5, 74.5>) -> (age, (35.0, 55.5>)))
((dxyr, (dxyr, (67.5, inf)) -> (dxyr, (67.5, inf))) AND (alb, (alb, (-inf, 3.45>) -> (alb, (-inf, 3.45>)) AND (age, (age, (35.0, 55.5>) -> (age, (74.5, inf))))
((dxyr, (dxyr, (67.5, inf)) -> (dxyr, (67.5, inf))) AND (alb, (alb, (-inf, 3.45>) -> (alb, (-inf, 3.45>)) AND (age, (age, (61.5, 63.5>) -> (age, (74.5, inf))))
((hgb, (hgb, (11.350000000000001, 13.649999999999999>) -> (hgb, (11.350000000000001, 13.649999999999999>)) AND (age, (age, (74.5, inf)) -> (age, (35.0, 55.5>)))
((hgb, (hgb, (11.350000000000001, 13.649999999999999>) -> (hgb, (11.350000000000001, 13.649999999999999>)) AND (alb, (alb, (-inf, 3.45>) -> (alb, (-inf, 3.45>)) AND (age, (age, (61.5, 63.5>) -> (age, (74.5, inf))))
