id,left,right
0,106,20
1,768,21
2,164,20
3,140,23
4,73,20
5,105,20
6,9,21
7,68,20
8,140,23
9,51,22
10,13,20
11,125,22
12,68,20
13,164,20
14,12,23
15,7,20
16,109,20
17,105,20
18,16,22
19,68,20
20,164,20
21,259,20
22,105,20
23,125,22
24,164,20
25,768,21
26,355,20
27,47,20
28,164,21
29,94,44
30,363,21
31,355,20
32,3,20
33,164,20
34,8,20
35,3,20
36,164,20
37,164,20
38,14,21
39,8,20
40,68,20
41,20,20
42,768,21
43,3,20
44,105,20
45,768,21
46,1,20
47,1,23
48,164,21
49,6,20
50,94,21
51,164,21
52,96,20
53,106,20
54,25,20
55,363,21
56,68,20
57,43,20
58,105,20
59,59,30
60,38,22
61,17,20
62,768,21
63,7,20
64,52,30
65,43,20
66,355,20
67,52,30
68,15,20
69,164,20
70,16,20
71,96,20
72,119,21
73,52,30
74,259,20
75,39,20
76,105,20
77,43,20
78,164,20
79,73,20
80,136,22
81,17,20
82,164,20
83,164,21
84,105,20
85,0,20
86,768,21
87,55,21
