((pressureInd, (pressureInd, (97.51444783240035, 97.9722038912177>) -> (pressureInd, (36.36041025584155, 64.43832873091155>)))
((moistureInd, (moistureInd, (92.4554907145469, 95.269705877384>) -> (moistureInd, (76.10889652486571, 80.78482301322924>)))
((pressureInd, (pressureInd, (101.63070463506651, 103.7221861171135>) -> (pressureInd, (64.43832873091155, 69.41534395693091>)))
((pressureInd, (pressureInd, (71.99888576756945, 74.7739690758684>) -> (pressureInd, (36.36041025584155, 64.43832873091155>)))
((moistureInd, (moistureInd, (122.079935857167, 126.8068354625275>) -> (moistureInd, (76.10889652486571, 80.78482301322924>)))
((moistureInd, (moistureInd, (88.5303058261661, 89.40919020937511>) -> (moistureInd, (76.10889652486571, 80.78482301322924>)))
((moistureInd, (moistureInd, (103.6639528613305, 110.437114814551>) -> (moistureInd, (76.10889652486571, 80.78482301322924>)))
((pressureInd, (pressureInd, (81.0541716611798, 85.6571843398078>) -> (pressureInd, (36.36041025584155, 64.43832873091155>)))
((moistureInd, (moistureInd, (115.26469446434649, 118.1678800769745>) -> (moistureInd, (76.10889652486571, 80.78482301322924>)))
((moistureInd, (moistureInd, (97.3453053125686, 103.242342334336>) -> (moistureInd, (76.10889652486571, 80.78482301322924>)))
((pressureInd, (pressureInd, (85.6571843398078, 93.6503936174002>) -> (pressureInd, (36.36041025584155, 64.43832873091155>)))
((moistureInd, (moistureInd, (-inf, 76.10889652486571>) -> (moistureInd, (76.10889652486571, 80.78482301322924>)))
((pressureInd, (pressureInd, (93.6503936174002, 96.13050873403564>) -> (pressureInd, (36.36041025584155, 64.43832873091155>)))
((moistureInd, (moistureInd, (91.1172559983236, 92.4554907145469>) -> (moistureInd, (76.10889652486571, 80.78482301322924>)))
((moistureInd, (moistureInd, (120.357769721007, 122.079935857167>) -> (moistureInd, (76.10889652486571, 80.78482301322924>)))
((pressureInd, (pressureInd, (127.3191350909755, inf)) -> (pressureInd, (36.36041025584155, 64.43832873091155>)))
((moistureInd, (moistureInd, (103.6639528613305, 110.437114814551>) -> (moistureInd, (76.10889652486571, 80.78482301322924>)))
((moistureInd, (moistureInd, (103.6639528613305, 110.437114814551>) -> (moistureInd, (76.10889652486571, 80.78482301322924>)))
((pressureInd, (pressureInd, (85.6571843398078, 93.6503936174002>) -> (pressureInd, (36.36041025584155, 64.43832873091155>)))
((moistureInd, (moistureInd, (112.75250149284, 112.91719411861149>) -> (moistureInd, (76.10889652486571, 80.78482301322924>)))
((moistureInd, (moistureInd, (97.3453053125686, 103.242342334336>) -> (moistureInd, (76.10889652486571, 80.78482301322924>)))
((pressureInd, (pressureInd, (81.0541716611798, 85.6571843398078>) -> (pressureInd, (64.43832873091155, 69.41534395693091>)))
((moistureInd, (moistureInd, (91.1172559983236, 92.4554907145469>) -> (moistureInd, (76.10889652486571, 80.78482301322924>)))
((pressureInd, (pressureInd, (81.0541716611798, 85.6571843398078>) -> (pressureInd, (64.43832873091155, 69.41534395693091>)))
((pressureInd, (pressureInd, (75.66673329804391, 80.6500128679062>) -> (pressureInd, (36.36041025584155, 64.43832873091155>)))
((moistureInd, (moistureInd, (115.26469446434649, 118.1678800769745>) -> (moistureInd, (76.10889652486571, 80.78482301322924>)))
((moistureInd, (moistureInd, (110.8539632377035, 112.6370341666235>) -> (moistureInd, (76.10889652486571, 80.78482301322924>)))
((moistureInd, (moistureInd, (103.6639528613305, 110.437114814551>) -> (moistureInd, (76.10889652486571, 80.78482301322924>)))
((moistureInd, (moistureInd, (76.10889652486571, 80.78482301322924>) -> (moistureInd, (76.10889652486571, 80.78482301322924>)))
((moistureInd, (moistureInd, (103.6639528613305, 110.437114814551>) -> (moistureInd, (76.10889652486571, 80.78482301322924>)))
((moistureInd, (moistureInd, (92.4554907145469, 95.269705877384>) -> (moistureInd, (76.10889652486571, 80.78482301322924>)))
((moistureInd, (moistureInd, (92.4554907145469, 95.269705877384>) -> (moistureInd, (76.10889652486571, 80.78482301322924>)))
((moistureInd, (moistureInd, (92.4554907145469, 95.269705877384>) -> (moistureInd, (76.10889652486571, 80.78482301322924>)))
((moistureInd, (moistureInd, (103.6639528613305, 110.437114814551>) -> (moistureInd, (76.10889652486571, 80.78482301322924>)))
((moistureInd, (moistureInd, (103.6639528613305, 110.437114814551>) -> (moistureInd, (76.10889652486571, 80.78482301322924>)))
((moistureInd, (moistureInd, (115.26469446434649, 118.1678800769745>) -> (moistureInd, (76.10889652486571, 80.78482301322924>)))
((moistureInd, (moistureInd, (80.83963570109145, 81.1156453683692>) -> (moistureInd, (76.10889652486571, 80.78482301322924>)))
((moistureInd, (moistureInd, (92.4554907145469, 95.269705877384>) -> (moistureInd, (76.10889652486571, 80.78482301322924>)))
((moistureInd, (moistureInd, (97.3453053125686, 103.242342334336>) -> (moistureInd, (76.10889652486571, 80.78482301322924>)))
((moistureInd, (moistureInd, (92.4554907145469, 95.269705877384>) -> (moistureInd, (76.10889652486571, 80.78482301322924>)))
((pressureInd, (pressureInd, (100.45361065685901, 101.093227697554>) -> (pressureInd, (36.36041025584155, 64.43832873091155>)))
