id,left,right
0,176,111
1,15,55
2,176,111
3,176,111
4,35,47
5,176,55
6,55,111
7,111,55
8,176,55
9,25,55
10,25,47
11,55,111
12,55,111
13,150,47
14,176,111
15,176,111
16,35,47
17,176,55
18,40,55
19,40,55
20,25,55
21,176,55
22,102,47
23,47,102
24,25,55
25,102,47
26,32,55
27,176,55
28,21,47
29,102,47
30,176,55
31,55,111
32,32,55
33,15,111
34,102,47
35,13,47
36,102,47
37,111,55
38,21,47
39,176,55
40,111,55
41,176,111
42,25,55
43,102,47
44,176,111
45,111,55
46,176,111
47,102,47
48,55,55
49,55,111
50,55,111
51,102,47
52,102,47
53,176,55
