time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, 
18.0, 0.991031, 1.000000, 1.000000, 0.986111, 1.000000, 0.987952, 1.000000, 1.000000, 0.976744, 0.986842, 0.972973, 0.990000, 0.967742, 
19.0, 0.982063, 0.976190, 1.000000, 0.958333, 1.000000, 0.963855, 1.000000, 1.000000, 0.976744, 0.986842, 0.972973, 0.990000, 0.967742, 
20.0, 0.977578, 0.976190, 1.000000, 0.958333, 0.990654, 0.963855, 1.000000, 1.000000, 0.976744, 0.986842, 0.972973, 0.990000, 0.967742, 
22.0, 0.973094, 0.976190, 1.000000, 0.958333, 0.981308, 0.963855, 1.000000, 1.000000, 0.976744, 0.973684, 0.972973, 0.980000, 0.967742, 
23.0, 0.968610, 0.952381, 1.000000, 0.944444, 0.981308, 0.951807, 1.000000, 1.000000, 0.953488, 0.973684, 0.945946, 0.980000, 0.935484, 
27.0, 0.964126, 0.928571, 1.000000, 0.930556, 0.981308, 0.951807, 1.000000, 1.000000, 0.930233, 0.973684, 0.918919, 0.980000, 0.903226, 
28.0, 0.955157, 0.928571, 1.000000, 0.930556, 0.962617, 0.939759, 1.000000, 1.000000, 0.930233, 0.960526, 0.918919, 0.960000, 0.903226, 
33.0, 0.946188, 0.928571, 1.000000, 0.930556, 0.943925, 0.927711, 1.000000, 1.000000, 0.930233, 0.960526, 0.918919, 0.940000, 0.903226, 
36.0, 0.937220, 0.904762, 1.000000, 0.916667, 0.934579, 0.915663, 1.000000, 1.000000, 0.906977, 0.960526, 0.891892, 0.930000, 0.870968, 
38.0, 0.932735, 0.880952, 1.000000, 0.902778, 0.934579, 0.903614, 1.000000, 1.000000, 0.883721, 0.960526, 0.864865, 0.930000, 0.838710, 
41.0, 0.928251, 0.857143, 1.000000, 0.888889, 0.934579, 0.891566, 1.000000, 1.000000, 0.883721, 0.960526, 0.864865, 0.930000, 0.838710, 
46.0, 0.923767, 0.833333, 1.000000, 0.875000, 0.934579, 0.879518, 1.000000, 1.000000, 0.860465, 0.960526, 0.837838, 0.930000, 0.806452, 
47.0, 0.914798, 0.809524, 1.000000, 0.861111, 0.925234, 0.879518, 1.000000, 1.000000, 0.837209, 0.960526, 0.837838, 0.920000, 0.806452, 
50.0, 0.905830, 0.809524, 1.000000, 0.861111, 0.915888, 0.867470, 1.000000, 1.000000, 0.837209, 0.960526, 0.837838, 0.910000, 0.806452, 
53.0, 0.901345, 0.809524, 1.000000, 0.861111, 0.915888, 0.855422, 1.000000, 1.000000, 0.837209, 0.960526, 0.837838, 0.910000, 0.806452, 
55.0, 0.896861, 0.785714, 1.000000, 0.847222, 0.915888, 0.843373, 1.000000, 1.000000, 0.837209, 0.960526, 0.837838, 0.910000, 0.806452, 
57.0, 0.892377, 0.785714, 0.983051, 0.847222, 0.906542, 0.843373, 1.000000, 1.000000, 0.837209, 0.960526, 0.837838, 0.910000, 0.806452, 
58.0, 0.887892, 0.785714, 0.983051, 0.847222, 0.897196, 0.843373, 1.000000, 1.000000, 0.837209, 0.960526, 0.837838, 0.900000, 0.806452, 
59.0, 0.883408, 0.785714, 0.983051, 0.847222, 0.887850, 0.843373, 1.000000, 1.000000, 0.837209, 0.947368, 0.837838, 0.890000, 0.806452, 
61.0, 0.878924, 0.761905, 0.983051, 0.833333, 0.887850, 0.831325, 1.000000, 1.000000, 0.837209, 0.947368, 0.837838, 0.890000, 0.806452, 
62.0, 0.865471, 0.714286, 0.983051, 0.805556, 0.887850, 0.807229, 1.000000, 1.000000, 0.813953, 0.947368, 0.837838, 0.890000, 0.806452, 
64.0, 0.856502, 0.666667, 0.983051, 0.777778, 0.887850, 0.783133, 1.000000, 1.000000, 0.767442, 0.947368, 0.783784, 0.890000, 0.774194, 
65.0, 0.852018, 0.666667, 0.983051, 0.777778, 0.878505, 0.771084, 1.000000, 1.000000, 0.767442, 0.934211, 0.783784, 0.880000, 0.774194, 
66.0, 0.847534, 0.642857, 0.983051, 0.763889, 0.878505, 0.771084, 1.000000, 1.000000, 0.744186, 0.934211, 0.756757, 0.880000, 0.741935, 
68.0, 0.843049, 0.642857, 0.983051, 0.763889, 0.878505, 0.759036, 1.000000, 0.969697, 0.744186, 0.921053, 0.756757, 0.870000, 0.741935, 
69.0, 0.838565, 0.619048, 0.983051, 0.750000, 0.878505, 0.746988, 1.000000, 0.969697, 0.720930, 0.921053, 0.729730, 0.870000, 0.709677, 
70.0, 0.834081, 0.619048, 0.966102, 0.750000, 0.878505, 0.746988, 1.000000, 0.969697, 0.720930, 0.921053, 0.729730, 0.870000, 0.709677, 
71.0, 0.829596, 0.595238, 0.966102, 0.736111, 0.878505, 0.746988, 1.000000, 0.969697, 0.697674, 0.921053, 0.729730, 0.870000, 0.709677, 
73.0, 0.820628, 0.571429, 0.949153, 0.722222, 0.869159, 0.734940, 1.000000, 0.969697, 0.697674, 0.921053, 0.729730, 0.860000, 0.709677, 
77.0, 0.816143, 0.547619, 0.949153, 0.708333, 0.869159, 0.722892, 1.000000, 0.969697, 0.674419, 0.921053, 0.702703, 0.860000, 0.677419, 
80.0, 0.811659, 0.547619, 0.932203, 0.708333, 0.859813, 0.722892, 1.000000, 0.969697, 0.674419, 0.921053, 0.702703, 0.860000, 0.677419, 
81.0, 0.802691, 0.523810, 0.915254, 0.694444, 0.850467, 0.710843, 1.000000, 0.969697, 0.651163, 0.921053, 0.675676, 0.850000, 0.645161, 
83.0, 0.798206, 0.523810, 0.898305, 0.694444, 0.841121, 0.710843, 1.000000, 0.969697, 0.651163, 0.921053, 0.675676, 0.850000, 0.645161, 
86.0, 0.793722, 0.523810, 0.898305, 0.680556, 0.841121, 0.698795, 1.000000, 0.969697, 0.651163, 0.921053, 0.675676, 0.850000, 0.645161, 
87.0, 0.780269, 0.500000, 0.881356, 0.666667, 0.831776, 0.686747, 0.973684, 0.939394, 0.651163, 0.907895, 0.675676, 0.840000, 0.645161, 
