attribute,value
age,"(-inf, 15.66>"
age,"(15.66, 17.155>"
age,"(17.155, 17.4>"
age,"(17.4, 19.97>"
age,"(19.97, 29.77>"
age,"(29.77, 30.810000000000002>"
age,"(30.810000000000002, 31.965>"
age,"(31.965, 33.760000000000005>"
age,"(33.760000000000005, 36.010000000000005>"
age,"(36.010000000000005, 36.095>"
age,"(36.095, 36.315>"
age,"(36.315, 36.8>"
age,"(36.8, 41.935>"
age,"(41.935, 44.525>"
age,"(44.525, 48.5>"
age,"(48.5, 49.985>"
age,"(49.985, 54.615>"
age,"(54.615, inf)"
trtgiven,{RT}
medwidsi,{N}
extranod,{N}
