((tsize, (tsize, (20.5, 47.0>) -> (tsize, (5.5, 13.0>)))
((estrec, (estrec, (132.5, 605.0>) -> (estrec, (2.5, 4.5>)))
((estrec, (estrec, (5.5, 21.0>) -> (estrec, (2.5, 4.5>)))
((age, (age, (64.5, inf)) -> (age, (42.5, 49.5>)) AND (pnodes, (pnodes, (10.5, inf)) -> (pnodes, (1.5, 2.5>)))
((tsize, (tsize, (20.5, 47.0>) -> (tsize, (5.5, 13.0>)))
((age, (age, (29.0, 34.5>) -> (age, (42.5, 49.5>)) AND (pnodes, (pnodes, (10.5, inf)) -> (pnodes, (1.5, 2.5>)))
((estrec, (estrec, (21.0, 107.0>) -> (estrec, (2.5, 4.5>)))
((estrec, (estrec, (132.5, 605.0>) -> (estrec, (2.5, 4.5>)))
((estrec, (estrec, (21.0, 107.0>) -> (estrec, (2.5, 4.5>)))
((tsize, (tsize, (20.5, 47.0>) -> (tsize, (5.5, 13.0>)))
((estrec, (estrec, (5.5, 21.0>) -> (estrec, (2.5, 4.5>)))
((tsize, (tsize, (20.5, 47.0>) -> (tsize, (5.5, 13.0>)))
((tsize, (tsize, (20.5, 47.0>) -> (tsize, (5.5, 13.0>)))
((estrec, (estrec, (21.0, 107.0>) -> (estrec, (2.5, 4.5>)))
((estrec, (estrec, (664.5, inf)) -> (estrec, (2.5, 4.5>)))
((estrec, (estrec, (21.0, 107.0>) -> (estrec, (2.5, 4.5>)))
((age, (age, (49.5, 64.5>) -> (age, (42.5, 49.5>)) AND (pnodes, (pnodes, (10.5, inf)) -> (pnodes, (1.5, 2.5>)))
((tsize, (tsize, (50.0, 59.0>) -> (tsize, (5.5, 13.0>)))
((tsize, (tsize, (20.5, 47.0>) -> (tsize, (5.5, 13.0>)))
((estrec, (estrec, (132.5, 605.0>) -> (estrec, (2.5, 4.5>)))
((estrec, (estrec, (664.5, inf)) -> (estrec, (2.5, 4.5>)))
((age, (age, (49.5, 64.5>) -> (age, (42.5, 49.5>)) AND (pnodes, (pnodes, (10.5, inf)) -> (pnodes, (1.5, 2.5>)))
((tsize, (tsize, (20.5, 47.0>) -> (tsize, (5.5, 13.0>)))
((estrec, (estrec, (-inf, 1.0>) -> (estrec, (2.5, 4.5>)))
((tsize, (tsize, (20.5, 47.0>) -> (tsize, (5.5, 13.0>)))
((estrec, (estrec, (107.0, 111.0>) -> (estrec, (2.5, 4.5>)))
((age, (age, (49.5, 64.5>) -> (age, (42.5, 49.5>)) AND (pnodes, (pnodes, (3.5, 9.5>) -> (pnodes, (1.5, 2.5>)))
((age, (age, (29.0, 34.5>) -> (age, (42.5, 49.5>)) AND (pnodes, (pnodes, (3.5, 9.5>) -> (pnodes, (1.5, 2.5>)))
((estrec, (estrec, (21.0, 107.0>) -> (estrec, (2.5, 4.5>)))
((tsize, (tsize, (59.0, inf)) -> (tsize, (5.5, 13.0>)))
((tsize, (tsize, (20.5, 47.0>) -> (tsize, (5.5, 13.0>)))
((tsize, (tsize, (20.5, 47.0>) -> (tsize, (5.5, 13.0>)))
((tsize, (tsize, (20.5, 47.0>) -> (tsize, (5.5, 13.0>)))
((estrec, (estrec, (-inf, 1.0>) -> (estrec, (2.5, 4.5>)))
((estrec, (estrec, (21.0, 107.0>) -> (estrec, (2.5, 4.5>)))
((estrec, (estrec, (21.0, 107.0>) -> (estrec, (2.5, 4.5>)))
((age, (age, (29.0, 34.5>) -> (age, (42.5, 49.5>)) AND (pnodes, (pnodes, (9.5, 10.5>) -> (pnodes, (1.5, 2.5>)))
((estrec, (estrec, (21.0, 107.0>) -> (estrec, (2.5, 4.5>)))
((estrec, (estrec, (21.0, 107.0>) -> (estrec, (2.5, 4.5>)))
((tsize, (tsize, (19.5, 20.5>) -> (tsize, (5.5, 13.0>)))
((tsize, (tsize, (20.5, 47.0>) -> (tsize, (5.5, 13.0>)))
