((SensorMeasure4, (SensorMeasure4, (1048.9699999999998, 1127.985>) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)) AND (SensorMeasure15, (SensorMeasure15, (8.4165, 9.34975>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)))
((SensorMeasure4, (SensorMeasure4, (1252.135, inf)) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)) AND (SensorMeasure15, (SensorMeasure15, (8.4165, 9.34975>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)))
((SensorMeasure4, (SensorMeasure4, (1252.135, inf)) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)) AND (SensorMeasure15, (SensorMeasure15, (8.4165, 9.34975>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)))
((SensorMeasure4, (SensorMeasure4, (1048.9699999999998, 1127.985>) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)) AND (SensorMeasure15, (SensorMeasure15, (9.38985, inf)) -> (SensorMeasure15, (9.358049999999999, 9.38985>)))
((SensorMeasure11, (SensorMeasure11, (-inf, 42.175>) -> (SensorMeasure11, (42.175, 44.345>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, 13.655000000000001>) -> (SensorMeasure6, (5.715, 13.655000000000001>)))
((SensorMeasure4, (SensorMeasure4, (1048.9699999999998, 1127.985>) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)) AND (SensorMeasure15, (SensorMeasure15, (9.38985, inf)) -> (SensorMeasure15, (9.358049999999999, 9.38985>)))
((SensorMeasure4, (SensorMeasure4, (1048.9699999999998, 1127.985>) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)) AND (SensorMeasure15, (SensorMeasure15, (8.4165, 9.34975>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)))
((SensorMeasure4, (SensorMeasure4, (1127.985, 1252.135>) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)) AND (SensorMeasure15, (SensorMeasure15, (9.358049999999999, 9.38985>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)))
((SensorMeasure4, (SensorMeasure4, (1048.9699999999998, 1127.985>) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)) AND (SensorMeasure15, (SensorMeasure15, (9.38985, inf)) -> (SensorMeasure15, (9.358049999999999, 9.38985>)))
((SensorMeasure4, (SensorMeasure4, (1252.135, inf)) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)) AND (SensorMeasure15, (SensorMeasure15, (8.4165, 9.34975>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)))
((SensorMeasure4, (SensorMeasure4, (1048.9699999999998, 1127.985>) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)) AND (SensorMeasure15, (SensorMeasure15, (9.358049999999999, 9.38985>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)))
((SensorMeasure11, (SensorMeasure11, (-inf, 42.175>) -> (SensorMeasure11, (44.345, 47.535>)) AND (SensorMeasure14, (SensorMeasure14, (8078.155, 8134.889999999999>) -> (SensorMeasure14, (8134.889999999999, inf))) AND (SensorMeasure15, (SensorMeasure15, (8.4165, 9.34975>) -> (SensorMeasure15, (-inf, 8.4165>)))
((SensorMeasure4, (SensorMeasure4, (1252.135, inf)) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)) AND (SensorMeasure15, (SensorMeasure15, (8.4165, 9.34975>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)))
((SensorMeasure4, (SensorMeasure4, (1127.985, 1252.135>) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)) AND (SensorMeasure15, (SensorMeasure15, (9.358049999999999, 9.38985>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)))
((SensorMeasure4, (SensorMeasure4, (1048.9699999999998, 1127.985>) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)) AND (SensorMeasure15, (SensorMeasure15, (8.4165, 9.34975>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)))
((SensorMeasure4, (SensorMeasure4, (1127.985, 1252.135>) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)) AND (SensorMeasure15, (SensorMeasure15, (9.38985, inf)) -> (SensorMeasure15, (9.358049999999999, 9.38985>)))
((SensorMeasure4, (SensorMeasure4, (1252.135, inf)) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)) AND (SensorMeasure15, (SensorMeasure15, (8.4165, 9.34975>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)))
((SensorMeasure4, (SensorMeasure4, (1048.9699999999998, 1127.985>) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)) AND (SensorMeasure15, (SensorMeasure15, (8.4165, 9.34975>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)))
((SensorMeasure11, (SensorMeasure11, (-inf, 42.175>) -> (SensorMeasure11, (44.345, 47.535>)) AND (SensorMeasure14, (SensorMeasure14, (8078.155, 8134.889999999999>) -> (SensorMeasure14, (8134.889999999999, inf))) AND (SensorMeasure15, (SensorMeasure15, (9.358049999999999, 9.38985>) -> (SensorMeasure15, (-inf, 8.4165>)))
((SensorMeasure4, (SensorMeasure4, (1252.135, inf)) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)) AND (SensorMeasure15, (SensorMeasure15, (8.4165, 9.34975>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)))
((SensorMeasure4, (SensorMeasure4, (1252.135, inf)) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)) AND (SensorMeasure15, (SensorMeasure15, (8.4165, 9.34975>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)))
((SensorMeasure4, (SensorMeasure4, (1252.135, inf)) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)) AND (SensorMeasure15, (SensorMeasure15, (8.4165, 9.34975>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)))
((SensorMeasure11, (SensorMeasure11, (44.345, 47.535>) -> (SensorMeasure11, (44.345, 47.535>)) AND (SensorMeasure14, (SensorMeasure14, (8078.155, 8134.889999999999>) -> (SensorMeasure14, (8134.889999999999, inf))) AND (SensorMeasure15, (SensorMeasure15, (8.4165, 9.34975>) -> (SensorMeasure15, (-inf, 8.4165>)))
((SensorMeasure4, (SensorMeasure4, (1048.9699999999998, 1127.985>) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)) AND (SensorMeasure15, (SensorMeasure15, (9.358049999999999, 9.38985>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)))
((SensorMeasure4, (SensorMeasure4, (1252.135, inf)) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)) AND (SensorMeasure15, (SensorMeasure15, (8.4165, 9.34975>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)))
((SensorMeasure4, (SensorMeasure4, (1127.985, 1252.135>) -> (SensorMeasure4, (1048.9699999999998, 1127.985>)) AND (SensorMeasure15, (SensorMeasure15, (8.4165, 9.34975>) -> (SensorMeasure15, (9.358049999999999, 9.38985>)))
